	symbol	returns
0	PINS	[-0.04378913416939256, 0.07341463330341717, -0.036995506825506896, -0.03930966782509595, -0.02521738798721977]
1	V	[0.0024771302312039905, 0.0024771302312039905, 0.0027598473412781513, 0.01311105735952538, 0.019112932311474318, -0.001098565756918949, 0.026706137702176544, 0.026326011713509956, -0.0026802691584227496]
2	KDP	[-0.004533393841994716, 0.02896134838115377, -0.030885368475676266]
3	BWA	[-0.050930780430802305, 0.006759755900632436, -0.02714753698130123, -0.02714753698130123, 0.02573861947233892, 0.039931148980280835, 0.04278895403548346, 0.035216400455328756, 0.013459470437032621, -0.06214210414325462, 0.009852173549661173, 0.02690585349443839, 0.013103638134532462, 0.016726878120242504, -0.012841079207244067, -0.0320938635047628, -0.03195654827615489, 0.012776139103947202, 0.04241439437374658, -0.025786336747067526, 0.09135038432317658, -0.004204916322369336]
4	SU	[0.03820348566979919, 0.022371327424393045, 0.01773163703113684, 0.036476853431462605, 0.01782713403316926, 0.08605070765830714, -0.04893620676524367, -0.04893620676524367, -0.037613483841528766, 0.010781660765967553, 0.001547964032246121, -0.017504205644718336, 0.009204316225715001, 0.009204316225715001, -0.05245348726379482, -0.002453291308105407, 0.021409378029681136]
5	ING	[-0.03749999834431538, -0.008849519111826574, 0.009421288462805964, -0.05760963625976317, 0.0090703585325381, 0.016884134423435063, 0.00241260046510317, -0.0024330683825482396, 0.015503935570056991, -0.02780042613569905]
6	JNJ	[0.002124667551287417, 0.002515727428349272, 0.018557895122901916, 0.0036108360733575653, -0.00010558572654939805, 0.009565771505704129, 0.005763934489767473, -0.008545474336293721, -0.006026427669223791, 0.02532787530990664, -0.003878513011119208, 0.014240652062313246, 0.010566675419131494, 0.02923929250248901, -0.0528963083031768, 0.017414321834183854, 0.003990275527422883, -0.02649344262568534]
7	ATVI	[0.003139714487570719, -0.01962385773518015, 0.023862766477657567, 0.011990407454485494, 0.020851787678088304, 0.026172687143672817, -0.010159607651516415, 0.011372569742347363, 0.036180151798884425, -0.051010977980116994, 0.0010384057212059292, -0.0032176372109660933, 0.023310072490567334, 0.03158875937773802, 0.026566451073608697, -0.0018034677627127623, -0.027507794335849947, 0.10592022700876429, -0.014972028063318705]
8	COF	[-0.01234120370248573, 0.03196100439916281, 0.014053222925314043, 0.005548349153944307, -0.0004999796549479167, 0.005058769247164998, 0.011729708544414859, -0.00413064857271875, -0.012928376463126499, 0.03676376246291334, -0.0014724263384298312, -0.03573455225477694, -0.009823654306588528, -0.003448245244700229, 0.04991505799153445, 0.008587089195766336, 0.006031289145840583, 0.013226295967710038, 0.011278633963311002, -0.025358236240889665, 0.017727379605390108, 0.0021145815087625494, 0.01782461185241997, 0.0038030913708583694, 0.0006231570352559175, -0.01194279304506403, -0.013670254020286479, -0.024984810610568113, 0.014340115938416787, 0.16285274615413498, -0.12873683947546627]
9	GT	[-0.002617777737463448, 0.07857137643908722, -0.005617953018451914, -0.02956705938400091, 0.03883836995502782, 0.002890178367113536, -0.028883171467827203, 0.0014471559526668379, 0.014165196394823693, 0.012898882550051394]
10	MRVL	[0.03865206974733396, 0.0013209711780605023, 0.0, -0.014991188183992199, 0.021815008653387737, 0.015319174908577128, -0.02840060621754309, -0.012499987892806711, 0.03612600346548087, -0.03696366204903636, -0.016654633520787995, 0.00306932070291589, -0.022342931389926227, 0.040922634516866375, 0.0020746703244847176, -0.04939206885006877, -0.01710725654959585, -0.10915199054493159, -0.030010689738566486, -0.0021551190371588724, -0.033088203390680304, -0.0294695659863915, -0.04457532980166382, -0.005409559280846999, -0.007432473576616937, 0.028049596041473945, 0.006277487730947228, 0.006242220887157591, -0.024335048291973086, 0.008561621838531621, -0.000992578567856603, 0.022336706833231943, 0.022336706833231943, -0.01888379204281041, 0.030769294253470136, 0.06709733686932245, 0.052748408857172, -0.058823559140692476, -0.04031208588723861, -0.005050428180518417, 0.0025031862749193673, 0.002985071865055365]
