	symbol	returns
0	DIS	[0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334, 0.27833349996597334]
1	CNP	[0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376, 0.0875000272478376]
2	ZM	[]
3	PFE	[-0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368, -0.08462427392860368]
4	NVDA	[0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074, 0.31647335357533074]
5	NEM	[-0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609, -0.10788861260852609]
6	NFLX	[0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069, 0.3891877063622069]
7	ET	[0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151]
8	INTC	[0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032, 0.08559895120137032]
9	HPQ	[-0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261, -0.04701887313690261]
10	ATUS	[0.38200926913456623, 0.38200926913456623, 0.38200926913456623, 0.38200926913456623, 0.38200926913456623]
11	AZN	[0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159, 0.010052938512831159]
12	COP	[-0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383, -0.011517821551498383]
13	MYL	[-0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905, -0.023997137337503905]
14	TSM	[0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385, 0.20016432863261385]
15	SO	[0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729, 0.1953338715092729]
16	SQ	[0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306, 0.27132867571252306]
17	CVE	[0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203, 0.37052334649824203]
18	ZNGA	[0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584, 0.38944728223787584]
19	EOLS	[]
20	SNDX	[]
21	PTON	[]
22	SNAP	[0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611, 0.9378238930830611]
23	COG	[0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822, 0.10327234708523822]
24	IQ	[0.44415237559829435, 0.44415237559829435, 0.44415237559829435]
25	MSFT	[0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019, 0.2833267479005019]
26	WORK	[]
27	EPD	[0.15366147209916808, 0.15366147209916808, 0.15366147209916808, 0.15366147209916808, 0.15366147209916808, 0.15366147209916808]
28	FSCT	[0.6478706589016922]
29	CAR	[0.5970938758232842, 0.5970938758232842, 0.5970938758232842, 0.5970938758232842]
30	DAL	[0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911, 0.15252544153273911]
31	BA	[0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356, 0.1705938379014356]
32	CHWY	[nan, nan, nan, nan]
33	PENN	[0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114, 0.13213365521924114]
34	WYNN	[0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494, 0.42500002009658494]
