	symbol	returns
0	SAVE	[0.0052972427192662305, 0.11555993566920215, 0.14216306499167222, 0.15254736277250655, -0.09040459078500195, -0.031823773127769246, -0.07184811769938812, -0.2619047991897057, 0.05619837435341555, 0.11509570989370888, 0.16690472194126674, -0.04493446767474559, -0.025085484889361596, -0.060598583834930324, -0.14800515381822246, -0.15101739909663034, -0.06814163228023778, -0.08878180588065467, 0.11215882241523728, 0.11215882241523728, 0.037233985747642195, 0.15551795823325626, -0.08601632076941643, -0.05929707746570375, -0.008817148127022374, -0.1612183185768034, 0.05879025720418557, 0.005051800004258894, 0.036692612487548786, 0.049535657037836266]
1	BBBY	[-0.14507343731772893, 0.028478999319712314, -0.031004110675448754, -0.003051369724600076, 0.0404973939738807, 0.1075661975290722, 0.08217057197772196, -0.05275558072386865, 0.07676771652749789, 0.021764604403531614, -0.055883019335460346, 0.019233947040850245, 0.0867312985301857, -0.06537387521902809, -0.30861618616918235, -0.03546101529339633, -0.08270239196180859, -0.06800707444750617, -0.18256132489526472, 0.18085103145062317, 0.3016917231738101, 0.05872622243060895, 0.13177647655273533]
2	KDMN	[0.021428551357619275]
3	CLVS	[0.06924248806804309, -0.08511163065347345, 0.03737574982631333, -0.20039236427621573, 0.4025974454904953, -0.0348800048828125, 0.7813861204846071, 0.1153846120455364, -0.04364008494885131, -0.11606547493266786, -0.07723433106726625]
4	INSG	[0.035326052626106094]
5	IVR	[-0.00346817737505157, -0.007059979333689923, -0.0018788592675996578, -0.13149119861733125, -0.010240968216103975, -0.0024782533885574203, 0.008227855245036653, 0.042784637724437635, -0.03931380984510938, 0.020262225189208862]
6	ATRA	[1.6861110263400607, -0.2521703285157603, 0.7301401511239486]
7	AR	[-0.11739820026710278, 0.14000865127713819, -0.03575122559507797, -0.08615052052036021, -0.03580954415457589, 0.03315944055844666, 0.03315944055844666, -0.00819975080059946, -0.02218821489092067, 0.0044792432916721135, -0.06816389280700329, 0.03775884437126531, -0.05697448799494571, -0.08304935662724867, -0.23870970123640284]
8	NAT	[-0.034843267112166454, -0.0777902947330872, -0.05662516881706732, -0.06333335683186778, -0.050980344491478875, -0.08625335039150772, -0.10250002145767212]
9	RWT	[0.03716510946565882, 0.12243351004229963, 0.09169054571756977, -0.008844657051549023, -0.01828822228271539, -0.013271387744873447, 0.031032344900333787, -0.09198110555150944]
