	symbol	returns
0	PINS	[0.004468320740021731, 0.006560540774182185, -0.032884942473410624, -0.01342285131605223, 0.0]
1	V	[0.012639673548757762, 0.012639673548757762, -0.022204061022142712, 0.017131110573595253, 0.026023021216259698, -0.006734828324411359, 0.02019860089828587, 0.028530630668246303, -0.0031908105279998783]
2	KDP	[-0.007177885592657623, 0.0009986277757191733, -0.00754973637482792]
3	BWA	[-0.0007446470680799888, 0.0042060805254689635, -0.004458968365778688, -0.004458968365778688, 0.016338396088859564, 0.0, 0.04145180605335271, 0.008437253862993176, -0.007093477499010073, -0.013997875420000987, -0.0058644145844740665, -0.017937235662958927, 0.0016986094729274975, 0.006842817072325383, -0.024678963452460217, -0.004869438229683275, -0.021086983058763588, -0.04737819520243686, -0.03534527678647734, -0.006517413892588765, -0.016769601205888773, 0.03937311516259054]
4	SU	[0.0, 0.0038350568352082527, 0.007948705090422671, 0.024021279041248504, 0.0050453959246509385, 0.0, -0.04787235265766029, -0.04787235265766029, -0.026588835627985877, -0.004380089851028876, -0.0021671732655616327, 0.0, -0.009204316225715001, -0.009204316225715001, -0.02848275091962607, -0.01134617985156722, 0.0038655144005100782]
5	ING	[-0.023611056105588703, 0.015170655862697903, -0.009421224285528813, 0.012897645490477647, -0.005290982407123075, 0.039907940784362377, 0.015681557905804815, -0.015409536217271298, -0.005426333092573686, -0.033524109792169174]
6	JNJ	[0.0070821531275709355, -0.0020964572953323037, 0.0039128688144969585, 0.006053522436868707, 0.00010550518823776617, 0.0033318739847735196, -0.003028502899035742, 0.0009288358788741888, -0.008609207975437374, 0.0033720266656635163, 0.0013172919327510018, -0.007929409795108248, -0.014323746089980155, -0.004644792521485521, 0.007398091392663386, -0.002577285619111878, 0.004884701928202755, -0.004179756410806139]
7	ATVI	[-0.007064376311208638, -0.017170817034573387, 0.011931383238828783, 0.007194226176781484, 0.011534973867463138, 0.001019737816713392, 0.008063215828637962, -0.004896562416152432, 0.003105542600986111, 0.040438816730989376, -0.019106998016357485, 0.011032024257652958, 0.016952809388407573, 0.020186950113171728, 0.0, 0.009017132427781314, -0.022730971408809003, 0.09173448811805114, -0.01316221212780027]
8	COF	[0.000544511702813059, -0.017334829914307077, 0.005177492045425368, -0.009987070807752097, 0.0003333409627278646, 0.00685381840745848, 0.016252140915214635, 0.0007994344590815409, -0.0034150358164676004, 0.000508852756860001, -0.002453950285180215, -0.013700581622772146, -0.012649641271627399, 0.022126450420827986, 0.023953068670800524, 0.004126271374344371, 0.0, 0.029050532305233082, 0.010910866654139631, -0.0093245357295797, 0.018718310437729164, -0.005739600330650638, -0.001519156665223567, 0.0, 0.01017868061236748, -0.008957094783798024, -0.005695893084810172, -0.013220089487387949, 0.0013443324480808432, -0.04754497821486569, -0.044409879769467565]
9	GT	[-0.041884859887684464, -0.0061224916784618985, -0.02166937856637646, -0.030271052973268518, 0.0010497091226590015, -0.005780356734227072, -0.0051347833182161465, -0.00810416166367177, 0.013562409849322908, 0.012898882550051394]
10	MRVL	[0.014866166131008574, -0.014531060900922375, 0.0042283257602251075, 0.020282146308775856, 0.02356016607247875, -0.0025531687635056517, -0.01494766872604722, 0.0007812678697516342, 0.0, -0.013861389005588972, -0.0065170275056652465, -0.012277516985822629, -0.0036231562727872596, 0.03422619438309936, 0.009681904768562831, -0.025835878155785166, -0.03265941582477962, -0.04114187887455219, -0.030010689738566486, -0.012931022522848876, 0.0027573283690845787, -0.027504978217254873, -0.011774629039550533, 0.004636817740524372, -0.003378391222330155, 0.003913921716588894, -0.0050219662381338495, -0.001248467989523632, 0.0, 0.00114157860965175, -0.000992578567856603, 0.023625396084118334, 0.023625396084118334, 0.0, 0.013461571967109238, 0.08200792990588865, 0.006107751746452474, 0.004769382153504665, -0.008452543138725694, -0.009595890607579188, 0.0, 0.008955286764893227]
11	SLB	[-0.014914683284952565, 0.023138431950206404, -0.0028635946875161583, 0.0, -0.010415491259487496, -0.013337872527401992, 0.02425499352963005, 0.02425499352963005, -0.01520188629084739, 0.00933915756755673, 0.00933915756755673, 0.05364534645007269, -0.016522450838377993, 0.009058518614862614, -0.010234301438606562, -0.0060598513963301855, 0.009898520732911342, -0.001478594642277673, 0.0041486883139202685, -0.007269104203529563, -0.0007584257243932074, 0.0026974418720312906, 0.00030863779570674345, -0.00922153753648116, -0.0036516083985921625, -0.0037373036057138584, -0.02900033488984492, -0.0002730289957626858, 0.05105291851726345]
12	TMUS	[0.003171219117359302, 0.01607403373935176, 0.008560908218277501, 0.0064296547980385475, -0.011917656819838906, -0.052443852468526196, 0.007981369256863474, 0.006530164133895539, -0.014596197341973876, -0.018945030736866448, -0.018945030736866448, -0.0027194908875936602, 0.018280263759059907, 0.016933474286086093, 0.0036719379058806336, -0.01348172639175431, 0.01428570066179548, 0.0, 0.007331390601314485, -0.011627873520845726, -0.018243273938111048, -0.0018376312935175637, 0.006335529797271941]
13	JBLU	[-0.01041670598917381, -0.015296352469273407, 0.006861057011403851, -0.023547896085129433, -0.0056818397330839045, 0.009852207491816546, -0.020424138614057206, -0.03208561513224411, -0.014136873981798302, 0.023351592658987362, 0.024598880518994642, 0.050170421083661994, 0.050170421083661994, -0.010747642352160202, 0.05021115540309098, 0.007681221699382625, -0.023300948220763194, -0.06872041406278177, 0.010169539743373396, 0.0, -0.020491825704515736, -0.002732198860385201, 0.007857496979115482, -0.0026329245741535273, -0.0036123643038051432, 0.0042553152634363075, 0.01248048761473104, -0.10795976873093088]
14	EBAY	[-0.0081239904560935, -0.0081239904560935, -0.013600936402590061, -0.015356587543015587, -0.010260058076435721, -0.026834036369490083, 0.025831691679549063, 0.008077546792006647, -0.011752172444385053, -0.01151598980079065, -0.023388500984014314, 0.011294966466882383, 0.00453309305844703, -0.006824117427124473, 0.00846453633168032, 0.011067600725282841, -0.020710109257779004, 0.0185759226932094, 0.005505844815985814, 0.031092453407000085, 0.0, -0.043566599061274455, -0.001157657759906179, 0.008622769110217065, 0.014111626996507068, 0.00711569516777204, -0.0138783553428429]
