	symbol	returns
0	AMD	[0.14726510152618652, -0.1042424404259884, -0.37175791101352973, -0.40062113962747026, -0.003773581171086827, -0.06172845102341023, -0.1887640337467851, -0.1887640337467851, -0.1586902040052279, 0.04411760452090707, 0.06467667415807105, 0.06265658170022084, 0.06265658170022084, 0.06265658170022084, 0.4421052430805407, 0.17179901615434623, 0.3126887810587024, 0.3148426323012204, -0.044487430498910005, -0.08707867777167394, -0.04696126071182218, -0.09590238499224298, 0.17941715383965973, -0.07951805512329553, 0.334027071053701, 0.20904839071546702, 0.6358867355106796, -0.05500203506267795, 0.055939622764559806, 0.1904617372519972, 0.16327736120539485, 0.2027772117142129, 0.08962563907398897, 0.17205187454411464, 0.17205187454411464, 0.2733485098611224]
1	PDD	[-0.0992477613067685, 0.3709837579616865]
2	GE	[0.03026731377288119, 0.033753627871865234, 0.09759599883557973, -0.04503936921291813, -0.04848266030687287, -0.19892469152446932, -0.02234634333218489, -0.05730659697582599, -0.3514610404639727, -0.3514610404639727, -0.4107274109237347, -0.33069305919523423, 0.21249997847610108, 0.05122674378539751, -0.006118854667114716, -0.06966870149589928, -0.3550667452180685, -0.4949337445356989, -0.36306870274856423]
3	FSCT	[0.01818181818181818]
4	WU	[-0.046316959831046375, 0.10129659518179629, 0.006863444307775123, 0.045871532465106085, 0.03156633415110381, 0.03340759532601857, 0.014634067168028828, 0.029349047552115454, -0.002373941520579046, -0.022883273970560926, -0.07997627339538921, 0.009726434042032165, 0.03463200144095058, 0.0750000350615564, 0.0750000350615564, 0.028705911075367647, 0.054997404755118016, -0.09041501701583052, 0.05081190705087535, -0.037072274368100136, -0.0485149214144066, 0.20867685607370162, 0.0263304931826446]
5	ERI	[0.2781065602975554, -0.047934312325738394]
6	VIPS	[0.16686585522057423, 0.2180318377659699, -0.08452780027645695, 0.15802017104092778, 0.1383623491037269, -0.17202077092723758, -0.10436026176076776, 0.16561658050835565, -0.07591781807857945, -0.17208271272307896, 0.43880102892007383, 0.13840393931682676, -0.11046512389852381, 0.12146894672058609, -0.12891982589295653, 0.13870375387231623, 0.13870375387231623]
7	AXP	[0.007616761996905459, 0.09400376257091272, 0.03599728817072433, -0.06987539863265205, 0.13970587466247011, 0.10010708033404414, -0.12425250101345055, -0.054774745448573574, 0.019396302708116608, 0.059432941304206295, 0.07876613106290103, 0.03978673011169409, 0.03316556672697784, 0.02717389372790309, -0.02074016689727615, -0.006473350686018653, -0.04487856533219126, 0.050918345548668684, 0.060708953953271846, -0.0728021718902636, 0.08518223605495008, 0.01933038959489613, 0.02228928895370529, -0.16368854694472104, -0.16368854694472104, -0.11089634168633913]
8	ZNGA	[-0.2922535345272619, -0.2922535345272619, -0.4161849233014288, -0.16472549255451732, -0.02928877346814324, 0.28102188987097815, 0.17549668037652452, 0.19955153786397054, -0.18918923510285213, 0.0041152222998090985, 0.021818161010742188, -0.033783831676485326, 0.1406250128056852, 0.005555550404536735, 0.05586593629775098, 0.1689497150190419, 0.03316746306904246, 0.0031897896311569507]
9	NKE	[0.07805138470329918, 0.0801246582055088, 0.027973894292064913, 0.014255466884994634, 0.021530440678107967, 0.024292646105807333, 0.05698322317453736, 0.052289002346261326, 0.015363297265683666, 0.029429377048108638, 0.2054490784019243, 0.13267745514661786, 0.006964975515819373, 0.008407740115149385, 0.046470209379131426, -0.11909923767778031, 0.05377345864473197, -0.0075312547762722264, 0.07475567510272701, 0.03090777447183061, 0.018203763614031906, -0.09354950967542618, -0.012433794060637339, 0.13140796111528524, 0.13140796111528524, 0.10419119648117445, 0.10402414436451729, 0.060557267983262386, -0.016231038786964833, 0.073076520859134, -0.23864204304540354, 0.29251303557616803, 0.059498735002024405]
