	symbol	returns
0	AMD	[-0.24123425517836453, -0.5090908859715317, -0.17867438584027262, -0.16149067587149948, 0.4339621945520727, -0.19259263532696783, -0.19999997856911556, -0.19999997856911556, -0.0654911810049217, 0.09558823078252045, 0.034825837599464136, 0.5614035098202461, 0.5614035098202461, 0.5614035098202461, 0.42315794292249176, 1.209076166272574, 1.184290073734008, 0.9535231760013795, 0.29690518854159403, 0.2453183343346318, -0.04327802285569265, -0.11246730007157961, 0.027322422881791975, 0.2570281010674182, 1.3194590751145079, 1.2636506356142763, -0.08237144484865248, -0.08489442228622453, -0.014456288148471568, 0.26411106905822346, 0.15296193869816402, 0.12660806194999655, 0.18010691270471257, 0.13541876920547763, 0.13541876920547763, 0.2567197323768379]
1	PDD	[0.6670710622298308, 0.3709837579616865]
2	GE	[0.017295585592111466, 0.11386746104872823, 0.045568690475597355, -0.08031496869780834, -0.32420434425051275, -0.3306451362052366, -0.2670390743237635, -0.38323783619261115, -0.181006494094598, -0.181006494094598, -0.25275534661640275, 0.04926729937664522, 0.45888890534271387, 0.08490681551578408, -0.42482516039693863, -0.4553951063626361, -0.4964650370846722, -0.5003897205355146, -0.4281891324175508]
3	FSCT	[0.49818184592507103]
4	WU	[-0.02455360112635748, 0.2188006301360462, 0.137954720039964, 0.18560332721285755, 0.14889814554375677, -0.08296212956972507, -0.0650406890686908, -0.17822839879301675, -0.024332334607125243, -0.06407316711757059, -0.036137365718638265, -0.012158100526660096, 0.005565872118939288, -0.0024509430389954632, -0.0024509430389954632, -0.11152945125804228, -0.005817060351093362, -0.10424904319230607, 0.057097964582264675, -0.04942969915746685, -0.004455452930131178, 0.1305856975492762, 0.06498598446061198]
5	ERI	[0.37278114121975736, 0.1755306639044579]
6	VIPS	[0.08880926199715018, 0.7540781661618098, 0.46342936933576234, 0.52846327391099, 0.17589286539842164, -0.4504317986830796, -0.2051465284141098, 0.13591361616058262, -0.3148724058515131, -0.008862620819583765, 0.32056614108439996, -0.24625938512981624, -0.4281184116705541, 0.09322031843562928, 0.09756099722216038, -0.09267114872409238, -0.09267114872409238]
7	AXP	[0.04768746549128452, 0.12792640860382812, 0.07459819153805629, -0.0352543425501586, 0.0048604112665926735, -0.04404242927689488, -0.11196013586574023, -0.05657656557925113, -0.02748875313542641, 0.18084334206026792, 0.18358793591399875, 0.002340302525169759, 0.017550660057346977, 0.05395960448775842, 0.0748883092410145, 0.07855094503625885, 0.03484691824817495, 0.11836733136858259, 0.08087866550883718, -0.05622710220915692, 0.20295164470658986, 0.018294811846998903, -0.021283671560884412, -0.17294694876142247, -0.17294694876142247, -0.09115880558565752]
8	ZNGA	[-0.6525821738131793, -0.6525821738131793, -0.6300577816409858, -0.5823627462772587, 0.5230125293446871, -0.05839419170576572, 0.1324503635409675, -0.31390136398947194, -0.2923832941104521, 0.11934154480910276, 0.010909080505371094, -0.0912162085969228, 0.20937494621612213, 0.06666667108182565, 0.05307264281273193, 0.4155250336235508, 0.014925318842334313, -0.011164301734341166]
9	NKE	[0.1532053404102575, 0.16611656410908496, 0.01670292459435429, 0.044746558791703736, 0.09722989776904027, 0.10034512876038604, 0.027932960893854747, 0.0327647899344045, 0.13351175837240792, 0.10810806063466939, 0.13353224945056535, 0.10224342496112523, -0.032903694578933905, -0.08024930209456967, 0.0968954232835484, 0.01084233032376312, 0.057802625561652554, 0.12818198846914514, 0.19997130750892145, -0.09162811817150393, -0.08716089202571424, -0.027955919585828107, 0.12605818745564026, 0.14660771324694558, 0.14660771324694558, 0.060190636255075806, 0.04234614915747064, 0.022662561375290248, -0.05796796120587859, -0.07328535552110023, -0.0556058913038349, 0.38991852100362795, 0.09803236139419014]
10	ENPH	[0.19449227634593033, -0.5525554563460405, -0.2634730235438353, 0.9969880264320035, -0.08170512498147704, -0.08170512498147704, 1.1699999295748198]
11	TSLA	[-0.19946525902303364, 0.17701285062916713, 0.13973260620094832, 0.36218328929515575, 0.5236459913010604, 0.527572080767964, 0.24864434499792867, 0.24365530703471455, -0.12147153752242745, -0.320463147112946, 0.09128514964819323, 0.0011365510974340565, -0.04038306000231627, 0.4754266573730106, 0.11969166282202441, -0.12719717874630704, 0.2766316104751005, 0.20999685190773243, -0.04740518086383585, -0.3082381092315652, -0.2857051229711893, 0.5413848053199901, 0.09573311448846267, 1.2614473232995314, 0.9102047911825297, 0.6175841680847772, 0.5823648309615568, 0.15071347395604684]
12	CZR	[0.2010309121246124, 0.31647392431188676, 0.36654360397155494]
13	PINS	[-0.4313374940086412, -0.4176819629162784, -0.3082959614886642, -0.39549380212291735, -0.19130433124044668]
14	CLVS	[-0.25896691594004634, 0.2617119953186919, -0.07943761707554287, 0.6816143353927139, 0.03874460792137562, -0.04479998779296875, 0.6370296667117884, -0.1626081174572585, -0.18380698010446972, -0.18036070548454458, -0.1588669731712825]
15	INVH	[0.024782595427139946, 0.19689922767163737, 0.15304211773075216, 0.06485360540371828]
16	BSX	[0.35335689998550956, 0.31702898660268986, 0.34215168097290255, 0.4454684357251367, 0.5986577385680368, 0.38106512895990696, 0.29018332767507177, 0.1416382090094392, 0.040551500656434224, -0.07426097631360387, -0.03971964352189247, -0.04733283956267979, 0.30448464783193663, 0.30448464783193663, 0.23303629766770093, 0.21674543870337387, 0.03600936740093582, 0.047858896078747076, 0.15823295559914455, 0.14627449185240501, 0.174351030341476, 0.2615230388790141, 0.04549235573804024, 0.12065610245489601, 0.02075041318657773]
17	EBAY	[0.16100444416874943, 0.16100444416874943, 0.15919733225498298, 0.1220448589161995, -0.08933312468444127, -0.002123587675965, 0.03150680448606267, -0.050080757571505326, -0.07282762420613767, 0.009816863054405336, -0.012359767835011675, 0.07049650477526563, 0.07343610754684189, 0.05809274097463942, 0.14113971801655037, -0.006392677785427334, -0.045118386811982554, 0.052941149376580426, 0.14177566809875342, 0.18207282524060106, -0.007890563741413293, -0.14198647909377946, -0.208149991887475, -0.16646708414226236, 0.39352149896313154, 0.10419320070659635, 0.09639161220961064]
18	MYL	[0.22957974120409363, 0.12137816613140422, 0.16840651089148423, 0.1526571879165537, 0.1526571879165537, 0.15088902693002573, -0.056883290684521526, 0.018261942548928857, -0.3512893285401467, 0.08464113727640422, -0.009057931667950738, 0.41483431512442365, -0.1746472199169026, -0.04823068213095322, -0.27357485901167844, -0.22261873572368146, -0.2147765889438444, -0.3222468398171793]
19	CSCO	[0.12542368461377484, 0.12542368461377484, 0.20158547546443292, 0.15021466995818478, 0.15021466995818478, 0.0968499963144322, -0.16314779748452557, -0.08374180046546165, 0.07580715340500097, 0.06669789139885247, -0.08882718574081501, -0.1088667749913611, 0.21020495554621707, 0.14505672120900553, 0.10642855507986886, 0.01692211659673461, -0.046518509476273145, -0.016034963536275603, 0.0831246822478367, 0.05985222651485299, -0.14055971996872077]
20	MO	[0.016147951112293325, 0.07002452958024624, 0.11437302068837435, 0.2123990231510731, -0.040404091809808085, -0.05975491450583778, 0.14557855006467085, 0.07242747161551895, 0.10312447009939703, 0.012864257195275026, -0.06103288627151976, -0.2387052118538935, -0.19037598102155967, 0.1062199076749451, 0.12277868003940279, 0.005050505050505051, 0.08963585134862001, -0.026393005533849347, -0.19268775284620904, -0.20618555625398485, -0.012820556326967653]
21	AZN	[0.04064502173585324, 0.05983286648008614, 0.05855947446370445, 0.026856554503445956, -0.00993245924681023, 0.15061541523752137, 0.15061541523752137, 0.23757548821767105, 0.22147407725497062, 0.22094988467469198, 0.15583798656705428, 0.14247525320885387, 0.07494649329650654, 0.10469637954080767, -0.04817554839058021, -0.043185083707646274, -0.0549852851715514, -0.056526767015139416, 0.03011761933977339, -0.02714648365110837, -0.028640247231957988, -0.1314351347327578, -0.030824103341907532, -0.1326209727789818, -0.18622148402044741, 0.13622977848771972, -0.004068566994165986, -0.011470570283777574, 0.05014402955367933, 0.10094904444412993, 0.04753958928109344, 0.07438816721037117]
22	OXY	[-0.0035347541480786676, 0.09850237703540717, 0.004705309485104909, -0.01485357676262674, -0.02318439072192734, -0.03745007006345189, 0.0068670884188073, -0.1568849648789837, -0.07381714319948694, 0.10032805016982269, -0.05906966903594527, -0.052056907954613776, -0.209967340291762, -0.01760787744655884, -0.03838923181847253, 0.050709286116094675, -0.0005898970206093795, 0.11276160634727798, 0.187814986302854, 0.0618186845309312, -0.03398519500808701, -0.05117145754516341, -0.2117237091201949, -0.15217932249474866, -0.13252181089676782, -0.08646563426658174, -0.6863484938126964, -0.6885607130902807, -0.6965857803943399, 0.01801152722901616]
23	BABA	[-0.07704144539917715, 0.09785065115241398, -0.11114501953125, -0.11114501953125, 0.28155036551699775, 0.0853242306007458]
24	SIRI	[0.16589856333583838, 0.42857146461354206, 0.3381642851490905, -0.0816326431312547, -0.14621408718924037, -0.017094000838336783, 0.07594936804365715, 0.030379777855453274, 0.28214284832380243, -0.06646969136380287, -0.044067834691389786, -0.019163704018026105, 0.13263520933941744, 0.18600373127283473, 0.07489876139136448]
25	GM	[0.14449442223498474, 0.13707166728709963, 0.15981312498351125, 0.05595460350203382, -0.0034630011972499224, 0.0038112303075064206, -0.0300689697265625, -0.08408896976965057, 0.14713463234871935, 0.03768593023631198, 0.04618864171391297, 0.1453342565414032, -0.04530918822490812, 0.02878411586532623, -0.0687528187633619, -0.17632955458255464, -0.15877249712773747, -0.14473996900300481, -0.04969603428810674, -0.28055557002746495, 0.1577539627419343]
26	BTG	[0.17482518123772425]
27	AUY	[-0.3382263337995352, -0.3600264529443133, -0.21888786927944812, 0.04446745623404173, -0.13727809154980206, 0.010526333401187353, -0.041522451385159684, -0.1970109048639268, -0.2583667848120658, -0.5346419999057338, -0.5396419660349265, -0.5011990681893133, 0.9033333460489908, -0.057082448168658005, -0.3942307286713941, -0.4474187200067833, -0.09090908361130771, -0.1445086689270034, -0.06493500461665078, -0.27899689308459075, -0.1757322417819663, 0.3769841487595706, 0.36363639741467557, 0.36363639741467557]
28	RTX	[0.1616902725549663, -0.09033783970388169, 0.051024924050157607, 0.02750985585566457, -0.06901325642819, 0.10983695535373617, 0.0942612501954324, 0.0263529702017854, -0.03169422753221557, -0.05392123889546544, 0.13483877428892818, 0.11678773358597935, 0.14364718162897575]
29	MGM	[0.15289579344194615, 0.22213500585154808, 0.3342140227789578, 0.3342140227789578, 0.3449721116853876, 0.2897878555266881, 0.022847795214726133, 0.022847795214726133, 0.019801980198019802, 0.03440367092880357, 0.027115471727724414, -0.039092639613183794, 0.19002629838382984, -0.09924308419708766, -0.24127251082146475, -0.09870296675070828, -0.09870296675070828, 1.226890744517124]
