	symbol	returns
0	AMD	[0.07994385493343206, -0.26303031227805396, -0.46397694554196767, -0.26397519735986225, 0.5283019037677872, -0.19259263532696783, -0.11685387972944794, -0.11685387972944794, -0.07052895953952665, -0.02573526930386246, 0.06467667415807105, 0.28822051483713473, 0.28822051483713473, 0.28822051483713473, 0.5642104901765522, 0.43111828436311095, 0.738670759495002, 0.7361319027360873, 0.28626692402960413, 0.22940072464958722, 0.31491714405268567, 0.2606800088499644, 0.09927142058567766, -0.1903614395074414, 0.6909469906910071, 0.2628705865409622, 0.39664226574610906, -0.264248745627504, -0.04965430354680533, 0.45638389509248944, 0.40966700267782075, -0.2011435990051407, 0.1922995011436748, 0.12183573061030367, 0.12183573061030367, 0.24487470675058884]
1	PDD	[-0.2188789288559407, 0.3709837579616865]
2	GE	[-0.052672962288724326, 0.014233503216179296, 0.09077865979212678, -0.054488192734832665, -0.07772024415100762, -0.21818993146745916, -0.09664805404107336, -0.09240684055463558, -0.4375000050315608, -0.4375000050315608, -0.47832476937057605, -0.15247524227444853, 0.40277771942409624, -0.06920508684617173, 0.10227273769312009, -0.40186918538228805, -0.4265514176560258, -0.5136399214166412, -0.43889385009379783]
3	FSCT	[0.4116363525390625]
4	WU	[-0.11160714238197827, 0.08670986074500357, 0.03225808351909365, 0.03034582236136759, 0.08695646246942448, 0.015033433826681047, 0.03739829800413807, -0.10138738749925319, 0.035014845058206956, -0.05892441683468721, -0.029028423902830978, -0.007294883505644012, 0.0024736554106361166, 0.06666669783249458, 0.06666669783249458, -0.11011765423943015, 0.0015864985133573915, -0.05138335078752108, 0.0031429788089472133, -0.06653999358173587, -0.05198025271046505, 0.16442520785135886, 0.06498598446061198]
5	ERI	[0.28254436250369197, -0.12097701176948572]
6	VIPS	[0.10234965267890485, 0.41238374742302186, 0.1882116147692402, 0.2841418615958079, 0.33558507920590974, -0.29430052619102554, -0.10221582379534026, 0.13411348072337445, -0.1561916193449545, -0.19350073064553538, 0.520399657026642, 0.12219444966336011, -0.1913319170698528, 0.13559322718812358, -0.02206731567474011, 0.01150820905049044, 0.01150820905049044]
7	AXP	[-0.0014350067189879711, 0.027711414966517054, -0.02399813453782311, -0.06734217223217616, 0.1724826063777138, 0.12236636731215465, -0.10232563876955697, -0.06486488319374062, 0.014386676538655845, 0.1105052338380978, 0.11365684495397457, 0.00806130656177498, 0.014840644697147291, 0.006340552167565516, 0.056880303303503334, 0.05676580922012261, 0.06430838609861432, 0.07551021965182557, 0.0768846413472345, -0.03168497418651579, 0.09647383074578013, 0.08612360712356874, 0.07223062687362566, -0.20998055602822813, -0.20998055602822813, -0.16349577317264594]
8	ZNGA	[-0.3615023750071078, -0.3615023750071078, -0.4277456615534286, -0.4991680739048376, 0.0, 0.1751824881032175, 0.41390728738233606, -0.10089681735789878, -0.24815729392698113, 0.06584355679694558, -0.05090912905606357, -0.023648625790768367, 0.11249996554106526, 0.0, 0.01117317394007622, 0.22146113352681163, 0.038142622068133625, -0.03987240841475372]
9	NKE	[0.10322341221001531, 0.16171616330708927, 0.07210751768881975, 0.017555361195325487, 0.02235333137332244, 0.05189789226515206, 0.10670394471237779, 0.11456461815318149, 0.011299429046932914, 0.06326325924216362, 0.2614806519162105, 0.2081646866087363, 0.0481946108172119, -0.05142260910045084, 0.10915563557594084, -0.12210174481514563, 0.03905167085280388, 0.0007531714447584255, 0.10048886915609856, -0.12302264021426176, -0.12971663535502945, -0.12235266787369238, -0.03425921151013271, 0.18460688273198309, 0.18460688273198309, 0.144927622852284, 0.15741716302713582, 0.05547991773292376, 0.05354133619424915, 0.0752688069272576, -0.1257177007108395, 0.38991852100362795, 0.09803236139419014]
10	ENPH	[0.33046473239299295, -0.45612343985271664, -0.2964071961010709, 0.35240959680760386, -0.13854350520001515, -0.13854350520001515, 1.1699999295748198]
11	TSLA	[-0.2473262441165437, -0.012599872030626368, 0.3394388930838733, -0.21958246631270215, 0.17428632657737742, 0.407987965102162, 0.34308167844629406, 0.0905388387133541, -0.12278270359938419, -0.1484936054007908, 0.0238438532574661, 0.08684944119390398, 0.039451258694113055, 0.13792259244177876, 0.19788797910280828, -0.021401256582459373, 0.06289848133561138, 0.2581590978990216, -0.26509126679900785, -0.1514093695622688, -0.1265183065963096, 0.03316421174680159, 0.08823485587054532, 1.2614473232995314, 0.9102047911825297, 0.6175841680847772, 0.5823648309615568, 0.15071347395604684]
12	CZR	[0.26288662277077396, 0.2283236858795289, 0.36654360397155494]
13	PINS	[-0.2317545084904003, -0.19712583222314634, -0.30904336274399324, -0.05896459317333794, -0.33913044307542883]
14	CLVS	[-0.010247858650487829, 0.048319872420506324, 0.06515035680435359, -0.0016816528244903563, 0.2512987103598671, -0.090719970703125, 0.7023762617961015, -0.16750107022489785, -0.16880921480814887, -0.24766201680900324, -0.23803657183278285]
15	INVH	[-0.0034782575524371605, 0.07945741104768889, 0.05711081474469438, 0.06485360540371828]
16	BSX	[0.3498233343555284, 0.394927506498418, 0.28042330356142686, 0.12442394996945605, 0.22818789970315767, 0.13609474534468669, 0.24811209530570044, 0.1348122771081308, 0.055150065643422334, -0.018024513486859545, -0.0007788340158096026, -0.04507891529330285, 0.04248622818507525, 0.04248622818507525, 0.21727210713782405, 0.22214718896936916, 0.10212511733740444, 0.1656171344765454, 0.040963874433339355, 0.06666669658586091, 0.08213874014336374, 0.11389438474406523, 0.024410571060721833, 0.1745898961961202, 0.035247238573420346]
17	EBAY	[0.04111285627040146, 0.04111285627040146, 0.09520625168365937, 0.04788845891107151, -0.013090366401670816, 0.05019297587921805, 0.06927591250689645, -0.07646739415592577, -0.05181628664726424, 0.006796250319869594, 0.013120334463181803, 0.06309637867746994, 0.023934714913929574, -0.0003499405069419141, 0.011342463340417674, 0.14612768626347078, 0.07063608663989795, -0.10495354395423025, 0.03165864050934217, 0.1669467494986665, 0.0673330179502474, -0.08510159193433485, -0.11414680393453489, -0.11209581569283308, 0.39352149896313154, 0.10419320070659635, 0.09639161220961064]
18	MYL	[0.0951626324830254, 0.1092403644544311, 0.09175824210373419, 0.08215831593119105, 0.08215831593119105, 0.09335772850748879, -0.019553657072511117, 0.05793455439947344, -0.0869448152820265, -0.027013101772926484, 0.002588050993736551, 0.27732192471324824, -0.11496648793269967, -0.05792533899355782, -0.1419819313017141, -0.1899533356663406, -0.19215347755773718, -0.2457501755275324]
19	CSCO	[0.057062049604424535, 0.057062049604424535, 0.1817667621493033, -0.010491145472493567, -0.010491145472493567, 0.21391627358427118, -0.12552777912418941, -0.09068624815634649, 0.06878798575691704, 0.04274306285954282, -0.05170020079444182, -0.035261855925370365, 0.2167465873183028, 0.1523500884274019, 0.03428568158830915, 0.035121279847996734, -0.07822220413773148, -0.07113698778373757, 0.12694040733976814, 0.0859606357052295, -0.11946535282164499]
20	MO	[-0.014386425681445911, 0.027334132435832895, 0.040978596982376214, 0.11198421959465282, -0.044215735484084855, -0.05749291764230277, 0.05454183434850791, 0.11394078947442311, -0.037247990429026316, 0.0861749144028479, 0.09999998806041573, -0.11845728174755595, -0.12570144834338956, 0.03885225951634724, 0.05008079270108919, -0.18949497107303503, -0.03490624730038863, 0.13692757600050393, -0.0865612131521719, -0.1392804355544883, -0.012820556326967653]
21	AZN	[-0.11508723286480897, 0.02799724177325109, -0.03676001682086609, 0.06124106262638367, 0.02105684088355178, -0.015823355739867595, -0.015823355739867595, 0.09101535848674212, 0.10101013128238764, 0.2355922494690252, 0.02748212106861213, 0.012423291381261744, 0.1183849161565914, 0.11142681543871757, -0.01778993258769816, -0.01621060809370808, -0.031922433595514416, -0.04691144011269807, -0.009325799972473061, 0.0012625949429734072, 0.027434540619340343, -0.1748633834817357, -0.09312131603838858, -0.10245129667339693, -0.18411553941641332, 0.05891017637918653, -0.01627437883680002, -0.03382357429055607, -0.02651302488226932, 0.06528617854121459, 0.033083085524725005, -0.054519020475967364]
22	OXY	[-0.027023961833953364, 0.10507726928561531, 0.017701049360472777, 0.010792923444882021, -0.01090406301159426, -0.03970121036171515, 0.03995421002010437, -0.09121592034704629, -0.055517820942806315, 0.0948605473394446, -0.12815319879736797, -0.09755434271889754, -0.11151963737937787, -0.03886422473601194, -0.04167972203277579, -0.017772706995680617, 0.1316915001723674, -0.1646861315105827, 0.2856924674725547, 0.08149424559874618, -0.010732190786173346, -0.027042775032822226, -0.08821820475346252, -0.12597632081134164, -0.16350808611326734, -0.10312540475026731, -0.6834628086486005, -0.7679083098771906, -0.7803306933804148, 0.01801152722901616]
23	BABA	[0.10378694252149594, 0.1151017993374337, 0.056997439940163805, 0.056997439940163805, 0.10852713178294573, 0.051706462912940974]
24	SIRI	[-0.12903229527865306, 0.11640206934713487, 0.22705316124041705, 0.04081628681073312, -0.10182764340846694, -0.102564072955542, 0.044303754013599365, -0.010126572498773351, 0.11428569239013012, 0.036927621965190324, 0.040677926650646554, 0.041811891554931147, 0.026178027027596057, 0.1197053620471858, 0.07489876139136448]
