	symbol	returns
0	PINS	[-0.046470103886582244, 0.05966885184518263, -0.22047830971849003, -0.060402693768694025, -0.034782575524371605]
1	V	[0.022992854808514995, 0.022992854808514995, 0.006774144644483502, 0.010735523842119975, -0.01288902153138117, -0.03195453965371965, 0.06465245487582963, 0.012838773906540858, -0.00025522199688377933]
2	KDP	[0.0030222865803284545, -0.037949442818019895, -0.08613590533476391]
3	BWA	[0.06209974794026235, -0.028691543359934023, -0.017180295850409835, -0.017180295850409835, 0.05684872198250874, 0.057659249170385396, 0.0911174899101801, 0.04292003178541195, -0.011094954809574932, -0.07444330906975596, 0.018531482079200558, 0.021386714181732627, -0.07352581525386483, -0.007032863098122916, 0.035513652735648445, -0.01305887889780073, 0.0004347925600798234, 0.048176773702246475, 0.10331710652195017, -0.03343724212420152, 0.19991177039495248, 0.0351681988402212]
4	SU	[0.06095071731658916, -0.030041563009068226, -0.0030571224983177315, 0.08066421433982209, -0.05482674691773611, 0.11639491411704918, -0.003191494686275653, -0.003191494686275653, -0.03631649914695008, 0.03537733242130195, 0.0030960461665775585, -0.023150754862069932, 0.008610478411509331, 0.008610478411509331, -0.05358143711892023, 0.051824550600361514, -0.035385144323842946]
5	ING	[-0.013888876011341837, 0.06700376020166293, 0.02557201367566434, -0.044711990769285524, 0.026455056204073336, 0.006907149227344471, 0.025331729687973637, 0.023519867286897877, -0.034108495611989094, 0.04088307593743148]
6	JNJ	[-0.004674246999816181, 0.01886790239749581, 0.032420364726864256, -0.0013806805199266879, -0.004328128867097369, 0.031706759664808494, -0.0020515736930487986, 0.006037468645499763, -0.006652567085022459, 0.0670662956381587, 0.036516690201567885, 0.005259337690259536, 0.006731316269390954, -0.029163190266163794, -0.04475847550279669, 0.012120406260482712, 0.0035774956438704812, -0.04777823251388927]
7	ATVI	[-0.03218209221177439, -0.028618106369234637, 0.06487694969862184, -0.012470034730210801, 0.027506606331043276, 0.07647858579759167, -0.010320906417863832, 0.02890535423569671, 0.0017080839711992733, -0.09026036733614849, -0.03779853867389877, 0.05745805783593294, 0.019283743884176766, 0.0345794107312354, 0.009893680518765262, -0.009197513601683006, -0.06984018988157033, 0.132400229646656, 0.08111221461319044]
8	COF	[0.011615303485830304, 0.017334761032089814, 0.00813606900538826, -0.07749211485773444, 0.023333358764648437, -0.08093993445294202, -0.00310911834456376, 0.01025978163565673, 0.017563147687829996, 0.028113459703772575, -0.010797512311876917, 0.009463250565900616, -0.0426591074295993, 0.019109222129497793, 0.05068766536397495, -0.028549097924263515, 0.0117394074873244, -0.018776617401452377, -0.02660289539124521, -0.03809422345362918, -0.007707519825967142, 0.002718802528432575, 0.008507230964741364, 0.015112111328078173, -0.04102614248361994, 0.008637210163544674, 0.006938751193870695, -0.122013316324425, 0.017028866308411644, -0.0239946246752189, -0.019872087997361683]
9	GT	[0.013961592223343535, 0.14897959282973167, -0.01043339599060317, 0.00492782085182553, 0.03463960020157298, 0.03725111978639655, 0.03401801599748886, 0.009551428027260457, 0.053646737882012956, 0.012898882550051394]
10	MRVL	[0.0009911029465416877, 0.06869220199930194, -0.011627870637809517, 0.032627855430376225, 0.006980796111671767, 0.02212767905377327, -0.10388642237921497, -0.06015628486638837, 0.027670995414593225, -0.05148513218555846, -0.055756729497988204, 0.013505175014741263, -0.04589367751916592, 0.033482200668835095, -0.08022128937426763, -0.04407294304187326, -0.054432334988568885, -0.08564227683940637, 0.010718154586008239, 0.07112067525898476, -0.09007357404435129, 0.025540203085782722, -0.03532380691055329, 0.01700156678229907, -0.05540544850883679, 0.016307893101382486, 0.005649726984540538, -0.018102428666710958, 0.009620830535366961, -0.08162101985231983, 0.15533504354197772, -0.04209628095703345, -0.04209628095703345, -0.07805290039053824, 0.029807733748793006, 0.12624249017056643, -0.06496391235007695, -0.17329095454860174, 0.020806221875366425, 0.01262626311278153, 0.08343763276145498, 0.002238857276086872]
