	symbol	returns
0	SAVE	[-0.02766329132937711, 0.09895830325937452, 0.061621063917197565, 0.013682714456515003, -0.10033595186361358, -0.04681764603298336, -0.03093190631199443, -0.116584568203215, -0.08901999477922405, 0.028834470887075626, 0.09571429661342076, -0.016434385698829213, 0.08232612852842111, -0.010882973618297412, -0.07902187427032252, -0.12331459870302167, -0.006858437346425734, -0.08511124275030307, 0.04615386217280806, 0.04615386217280806, 0.06466958229707136, 0.12653952421577386, -0.1305462355604574, -0.10450528824914894, 0.0432540084465304, -0.15005581222759223, 0.025814941393684954, 0.025006357025792614, 0.07564710360080953, 0.049535657037836266]
1	BBBY	[-0.006568849764592402, -0.0017799451732937361, 0.0886055582671885, -0.025258546127668518, -0.0463787329756069, 0.04580707111872847, 0.07667375159120465, -0.03652311739519944, 0.0441337068318236, 0.001563861748178287, -0.014483431197614529, -0.018397763371378224, -0.04956072974068308, -0.06315786359191487, -0.29347258472637017, -0.011820376006952129, -0.029702983495380208, -0.006505062764290734, -0.11716618930980487, 0.19739953531486415, 0.3411654132811155, 0.18941273225400646, 0.14678901271719555]
2	KDMN	[-0.014285700905079517]
3	CLVS	[-0.004985467593351259, 0.017905311112090438, -0.05280598045483192, -0.07707399037216606, 0.21774886130875656, -0.0766400146484375, 0.24732676591023361, 0.04176156023032993, 0.0021425624802930967, -0.032398169786260374, 0.008268846225218143]
4	INSG	[0.05434783805858864]
5	IVR	[0.05202321188262816, 0.04891574972700291, -0.024424632945150425, -0.11148166641753307, 0.04457829844053571, 0.016728653529989573, -0.02341771399319668, 0.05583759680157412, 0.02001434533426933, 0.002979692193954387]
6	ATRA	[1.0999999576144748, -0.1897478318003975, 0.6670560465232612]
7	AR	[-0.005993304342171825, 0.1872561661018754, 0.09715026290776002, -0.11813885761396442, -0.081142825172061, -0.03539496116015688, -0.03539496116015688, 0.02199031510494292, 0.030221917902576074, -0.06532287943990735, -0.037431004216082316, -0.008932168934253621, -0.023182716499052323, -0.06047700613194726, -0.27526885667885287]
8	NAT	[-0.01974453312526336, -0.06426154304497411, -0.03737257167812058, -0.02555561750623726, 0.03137261318454767, -0.01617249114895133, -0.14249998331069946]
9	RWT	[0.015557503018457597, 0.08973386611456537, 0.10697228815610309, -0.015478202558525236, 0.00731531681869877, -0.019907049975825906, 0.02279921833736335, -0.17452825732653585]
10	WTI	[-0.1553684435392681, -0.036608844315757956, -0.25121442913888703, -0.2323144010238048, 0.14550263398919258, 0.08428254525038133, 0.2631579968047346]
11	MTDR	[-0.06034483821723741, -0.058756164134741926, 0.15306122151080498, -0.12047698774434376, -0.13867279788311365, 0.17011131608117785, -0.03873404307364411, 0.051480597789978245, -0.10006218738864416, 0.09750417236491052, 0.022994565790571495, 0.043304858229106596, 0.11197135546478641, -0.10890453854289192]
12	SM	[0.04220559617044902, 0.048801069403526166, 0.13833043942508638, 0.02553239885374496, 0.003611327080691114, 0.017695837259451546, -0.05830199131548255, 0.00809921740654017, 0.10160422249194828, -0.03324756804284233, 0.11623557259271385, -0.0594638324258337, -0.25754002955915084, -0.14124127020127286, 0.28006583149307185, 0.2634304659381171, 0.0361756605022564, -0.08814991307443462, -0.10820699349896193, -0.17127501807976975, -0.10771214079821508, 0.13988774074116142, -0.21153849848695902, -0.11159821522646515, -0.21612153732297978, -0.12010584675028659, -0.04477609704014841, -0.34651898698362854, -0.3981385599024826, -0.2584269249052454]
13	BCRX	[0.07428571156093053, 1.2113821027898075, 0.2466666963365343, 0.04618112731077569, -0.059166669845581055, 0.04470359959691736, 0.008707308223955684, -0.3253885506501885, -0.09920634995722658, -0.009693043978174571, 0.05645155863260793, -0.1189279038964626, -0.15441179113095166, 0.6914285932268415, 0.37974677049966676]
14	OCUL	[-0.020761280691098182, 0.009673508981605041, -0.24228397639508903]
15	BKD	[-0.05730810338350803, 0.04414593318846758, 0.03275106650292581, -0.024667952749631183, 0.005460269123625355]
16	TSE	[0.023422228975777976, -0.052269080209727974, -0.3004857716555548, -0.3004857716555548]
17	FSM	[0.09470756565924963, -0.14038462420187084, -0.19669120595709852, -0.05714287076677595]
18	ELF	[0.1338652716868546, 0.10933550879084768, -0.028901687672833788, 0.2791111416286892, -0.014442519220862935, -0.01096774685767389, 0.24315511767495449, -0.03619375144540401]
19	MNK	[0.13607344553915632, 0.08055472385373354, 0.1887295077804928, 0.17450369927132958, 0.0723415315214854, 0.05096953546707007, -0.03908076962634392, -0.37702787303518953]
20	BGCP	[-0.10109293602876139, -0.0011601351182801063, -0.06229508462413965, 0.12442919234096718]
21	BLMN	[-0.11259757353498825, -0.007915580782212573, 0.09631242057195967, -0.0952793741187083, 0.04025613614804236, -0.129015212486575, 0.07801012544401921, -0.04243056361801952, 0.016324876808747776, -0.127526536973695, 0.08391243607680285, 0.07488990208033341, -0.06972109680525752, -0.038515808685325295, 0.0, -0.025735381034944948]
22	AXL	[-0.0019589086864784957, 0.28311495301661627, -0.07088226689107435, 0.175294090719784, 0.023618901657316484, 0.1682432900474743, 0.18495685123303274, 0.055064907321682226, 0.06609378973971247, 0.06338506668196318, 0.08638741429517852, -0.14412288777760202, -0.14802985010657488]
23	MIK	[0.1584007654105032, 0.04381565488393553, -0.03260436211776524, -0.03935186881750833, 0.021838014205322005, 0.0015706166857451457, -0.02960401580114765, -0.12886968449309807, -0.014609190313761646]
24	AMC	[-0.11544715888407701, -0.053820030309909624, 0.020146544458951397, -0.04866565544253392, -0.13953491079929659, -0.049418624637576056, -0.10545673633810335, 0.4213836119619247]
25	ENDP	[0.14440100150973137, 0.005067981280409337, 0.18751113835970323, 0.18751113835970323, 0.18751113835970323, 0.18751113835970323, 0.16258558846245247, 0.08527132592009928, 0.047640237686560956, 0.12716864920629944, -0.022604829787559153, 0.005863082302929844, 0.04436449385966397, -0.1459884467366985, -0.0071667279667062414, -0.10978386311442692, 0.2766191605634823, 0.05398292765968881, 0.06879302046373979, -0.14010373771057363, 0.20512822080332596]
26	ANF	[-0.014335487777634331, -0.3166729681359103, 0.07088388399743648, -0.13258953007167157, 0.017648822829850353, 0.12714699579837285, 0.12714699579837285, 0.12714699579837285, 0.12714699579837285, 0.10802391189301086, 0.10802391189301086, 0.10802391189301086, 0.10802391189301086, 0.06156403851384224, -0.10924868892817009, 0.017493909947537047, -0.04513152463787482, -0.08027082136628877, 0.04508524228943495, -0.10285266682387359, -0.08093569326919772, -0.07629559217591685, -0.02672957185121281, 0.12353839836047531, -0.008000044389204545, -0.03348729410655692, -0.12509739296808275, 0.10163605499783497, 0.22196533652797706, 0.1574760984750111, 0.14389990536846037, -0.05057249581311477, 0.0627820568981566, 0.007968081774949735, -0.03259693973137679, 0.016718897859384754, -0.09438378057337103, -0.21803277778676733, 0.13209076939104264, -0.022737415155725704, 0.018633522436780018, -0.03204419400453949, 0.05198360019363111, -0.05901425699803365, -0.07090235068432281, 0.31265500904393206]
27	ADMA	[-0.1568627542644592]
28	CERS	[-0.10904873198376984]
29	RUBI	[-0.17924523421477737, 0.09500002861022949]
30	OSTK	[0.34543520442236053, -0.09694558772780024]
31	CRK	[0.2780938061691086, -0.10554560089649255, -0.10554560089649255, 0.11173539011399992, -0.018518535961121768, -0.08081633898676659, -0.21729152401683252, -0.006888681900564507, 0.017751414734418172, 0.6754807802523386, 0.44155847372826246]
32	GBX	[0.04012764015141895, 0.029062165626065586, 0.03486239704035477, -0.029084620283829476, 0.06577738363528195, 0.0365744733288942, 0.05676851194902324, 0.01809868098649604, -0.09822355481963298, 0.04794525857072349, -0.06189269741723078, -0.03476824893652685]
33	EROS	[-0.2196721561619493]
34	EVRI	[0.4044663902588918, 0.4044663902588918]
35	SKT	[-0.020736674564069614, -0.0012323141298694095, 0.0467206170053015, -0.04849231107820402, 0.07199279703538213, -0.03962209966462987, 0.08992812015073917, 0.12129982495719052, 0.027019148436315785, -0.09348822592244095, 0.11942314352192132, 0.02821052952816612]
36	GIII	[0.05504033649610439, -0.009858713625238881, 0.09264185292836781, -0.09016671226824319, 0.11004073132792949, 0.16135454882504666, -0.042462114674599594, 0.12027904827294329, -0.10905348566796215, 0.10729495825212121, 0.11596233669201249, 0.047769604606685875, -0.15645444642012435]
37	BBAR	[0.1764164897544361, -0.05474668199655078]
38	APY	[0.08465771254345164, 0.019312778489890766]
39	FLDM	[-0.1522540620793031, 0.021545898573849837, 0.00462527614428342, -0.08383745366807716, 0.11419749520679316, 0.11564624702876924, 0.0, -0.47780126455600863]
40	INFN	[-0.07660163329348843, 0.04531249336432675, -0.002945505307640027, -0.12175100868019757, -0.12431698127169992, 0.20559604932886041, -0.12873326416984712, -0.15925542396099304, -0.058981221819626006, -0.03455727026971543, 0.030226718888622085, -0.22346001286147912, -0.2779553010122049, -0.12290972093145275, -0.15094342209359188, 0.13623186429408476, -0.04389815495423745, -0.1903073435289309, 0.1789925069614137, -0.2752065965886834, -0.024444474114312068, -0.025531891580617846, -0.18181818181818182, -0.05823292384383985, 0.29600003560384114, 0.13596488889014371, 0.048333326975504555, 0.28056115422500677]
41	JKS	[0.3376437311192012, 0.11603049311658283, -0.013500022888183593, -0.01502139423096601, -0.04839975167244765, 0.21009462735402615]
42	TNP	[-0.2589595225321829, -0.012295069953377443, -0.0769231420351127, 0.24850893595641158, 0.05882351157440714, -0.02670224504363092, -0.009383400979011879, 0.01989524362184128]
43	ABR	[0.025518317049255605, -0.08476825525225064]
44	GPRO	[-0.007105094215520939, 0.0698589056151409, 0.026388197862859276, 0.09656840030927076, 0.008496993404808967, 0.12360648470170642, 0.17773324406234092, -0.2309178825272241, 0.021151509595801234, 0.10800975340342531, -0.0649746516281108, -0.0649746516281108, 0.10526315281443477, -0.13305176276168768, -0.02023119435579163]
45	IMGN	[-0.14924244662837471, 0.07513657117481665, -0.01005588318501655, -0.08808288171232476, -0.30142301655328163, -0.02919705234584303, -0.45454546111345956]
46	RLGY	[-0.07414901366033654, 0.08270502385253393, 0.07659793091468499, -0.06102588146277454, 0.021525808860120402, -0.09054186164936165, -0.14564658355942395, -0.025231921555671718, -0.017656476526354995, -0.33069621769305735, -0.5863570450130826, 0.04565218315232698]
47	TGI	[0.06987954651690799, -0.07391027620142719, -0.021023571345810364, -0.07480423273537382, -0.08112266078160066, -0.04266371323902327, 0.02252590602931869, -0.2518301564202761, 0.10958446518238638, 0.4517543676193762, 0.04239215881904366, 0.3610785486664044, -0.09475537981161045]
48	CAKE	[0.02238809776490291, 0.010317056620414504, -0.04659648235270411, 0.013733057524084427, -0.09018865621314859, -0.04596771873867031, 0.06460437005998916, 0.06460437005998916, 0.1255920024243837, 0.08629879002546804, -0.005194841439468558, 0.017758856743422105, -0.5238095447794797, 0.17330216657161562]
49	PBI	[-0.07538036996627646, -0.00743220973888957, -0.015624984866008388]
50	VET	[-0.0714687915052254, -0.05333733141476954]
51	CADE	[-0.03566665649414062, -0.11156458819000827]
52	FLXN	[-0.006060662107580571]
53	DHC	[-0.19999951023944615, 0.047010795152098564, 0.09652285818965185, -0.04947801817411852, -0.09090909090909091, -0.0521092470552349]
54	PUMP	[0.16362401141726773, 0.1332891405206227, -0.221398280577664, -0.18629911830939122]
