	symbol	returns
0	DIS	[0.04827094538166944, 0.06496523604656393, 0.010334390111438635, 0.0377239386037147, 0.03952377561538938, 0.014263320662917859, -0.05431939061510594, 0.039985164909040444, 0.0009077566339577857, 0.03432966972539587, -0.15885969588160279, 0.0009107869617800686, -0.009460057963247942, -0.04148781456439401, 0.05835377692909529, 0.04771989100557372, 0.02987713152950894, 0.014956847157357553, 0.02006285221406207, -0.00558863108831722, 0.0010684956743893088, -0.01712596348328423, -0.009340165793172378, -0.00232560043947495, -0.0193266671939565, 0.0026426962640683067, 0.02886799925750115, -0.015054675294833744, -0.11896402871144084, 0.15522847248763047, 0.1389552600753458, 0.015146925944368745, 0.0, 0.15757449300758172]
1	T	[0.06387811968080731, 0.016969326949535724, 0.015006002538399416, -0.03710836308912456, 0.03116734565140754, 0.008505790563280548, -0.028125823609714933, -0.028125823609714933, -0.05279159290495837, -0.029107218831558104, -0.022851919773731032, -0.08872138467022062, 0.02833789901654612, 0.004863831909887794, 0.007282152763095796, -0.015748069506871014, 0.013420733236227621, -0.019987687865333212, 0.019999980926513672, -0.03789220916376593, -0.0728496292258838, -0.101182650120522, -0.10249133061600807, -0.07126582034923162, 0.040067292799328816, 0.049885904233437084, 0.039928968331469986]
2	ABEV	[-0.1406896525415881, 0.04974270422780352, -0.07532958562670906, -0.016467014895807867, -0.1306818238261972, -0.12404573414543679]
3	ODP	[-0.014742000061157, 0.053571425192480426, -0.05871884883023019, 0.02200002670288086, 0.09477751719288459, 0.01893934559158031, 0.004338390530862483, -0.0654627478759487, 0.08810574861859014]
4	CNP	[0.008977571672076053, 0.04141715996943674, 0.06660933418862112, 0.01380431036024884, -0.028511542737924143, -0.04839583573610177, 0.056734295429999776, 0.055825263586452956, -0.02322042633125599, 0.019593647532346898, -0.035420452645550486, 0.007167269532064224, 0.05419223395769639, 0.04721465232449364, -0.008544087424621106, 0.027857167380196706, 0.01403507433439556, 0.0075019041291880285, -0.0358641228364582]
5	WMT	[-0.022617128874321234, -0.04392552841182187, 0.05210167447094235, -0.010121457698301198, -0.006131094026317659, -0.010329155676843185, 0.03533263048753106, 0.02477120944743428, -0.04503760610521225, -0.05003448781664229, -0.014864641633492904, 0.047084622999711785, 0.0017774155771186342, 0.05276939419093106, -0.0034825718157076137, 0.02087831645798368, 0.020951413268072667, -0.0249281498316486, -0.02002505573390366, 0.0600535817994777, 0.035356072293982195, 0.0010775921667166176, 0.07723578096754277, 0.05064565493322617, 0.0779405424566715]
6	WMB	[0.05022968799399743, 0.03909315617303744, 0.03909315617303744, 0.017797948583526593, -0.1508820734384093, 0.0563437124179065, 0.09115699827164642, -0.05897861262038842, -0.009831417970412254, -0.05713353078512462, -0.04096002197265625, -0.1372965688850157, 0.033642649317514386, -0.006909110329367898, 0.154251331574047, 0.43111452491739866, 0.08657044541140832, 0.06101507196739299]
7	PYPL	[0.0011679099424041972, 0.13632027651040407, 0.06512848811099076, -0.09671574881511101, -0.02975612733422256, 0.08271468897071138, 0.04362893828612999, 0.10123268726679155, 0.07135060214102146, 0.08582625588630052, -0.04649114670170722, 0.055752637888243285, 0.0618824381532304, 0.02617192006574218, -0.00433106338827456, -0.00575255191517299, -0.06732025384869479, 0.07386873688761776, -0.053121460041975405]
8	BBY	[0.059775904342781204, 0.2769762987993169, 0.2769762987993169, 0.2769762987993169, 0.15413330078125, 0.26743032169505543, 0.12400931248487237, 0.0015390887218012005, -0.0010965163003014392, 0.02180940728601027, 0.02732372704299668, -0.07399058106278683, 0.06484118304299522, 0.010233319561074036, 0.011832784049007878, -0.05191812937385303, 0.06076018256634367, -0.050263884241820544, 0.04879436087101064, 0.07523998354544549, 0.08899297842328666, -0.013397143788314893, -0.08807949040899214, -0.1629891916091897, 0.050349433013350736, -0.06346238235676269, -0.003497917656705525, -0.11748514298899287]
9	HIG	[-0.11693117085070677, 0.020408184101964856, -0.05509180906770769, 0.06827670998861506, -0.02073237669406867, 0.1010363129546136, -0.003914347709570614, -0.02538337102641582, -0.07789644718809006, 0.05339349926513825, 0.04878049732642623, -0.3051570593196497, 0.17573225430373338]
