	symbol	returns
0	DIS	[0.034582191703015006, 0.047458342274658685, 0.0056738116038842976, 0.05374076282528132, 0.029365055144779266, 0.009404424702090377, 0.00863869135514721, 0.028014368834483095, 0.0012708731390192543, -0.06874462448556151, -0.14229253449877236, 0.006678847036506753, -0.01172647223138807, -0.050173754664681644, 0.07923830712108844, 0.061037078841000174, 0.02689872788512393, 0.01587443268718706, 0.017843866590560826, -0.00018031613503436599, 0.012376452852500996, -0.03415355583481609, 0.03886715635676756, -0.07522364429825609, -0.07267541967785852, 0.0002936163241117994, -0.01196242279999454, -0.019259889706804745, -0.029324002831784712, 0.14590110356586383, 0.14450317639633675, 0.00568009722913828, -0.007904825170174396, 0.06135915100898092]
1	T	[0.08171207669570034, 0.042869860677807764, 0.01800715725139382, -0.02666303442066882, 0.03704799172050258, -0.01531048790810203, -0.03480924548347172, -0.03480924548347172, -0.04449974009870977, -0.047858917055156165, 0.012187737038339684, -0.1127855969491323, 0.05258856308048751, 0.008025336566796493, 0.005461614572321847, -0.10854894435551947, 0.03464421281628709, -0.0698032111257779, 0.0037499666213989258, -0.09739488238806833, -0.04377099718317227, 0.014783142171345947, -0.026490011652210276, -0.003579521791132598, 0.04242418482040804, -0.010759697518263936, 0.05649215527453239]
2	ABEV	[-0.046896572770743536, 0.056603761239207365, -0.0885122024964895, -0.023952073581400495, -0.15909093166842517, -0.12595417485510155]
3	ODP	[-0.08108111749536548, 0.04563492476474614, -0.04270458647781426, 0.13400001525878907, 0.08704058077842697, 0.010101000370632515, -0.0021692469831258608, -0.11512410198804506, 0.31277534982937844]
4	CNP	[0.017955143344152106, 0.03143708243438588, 0.042114289770431294, 0.009744282851990438, 0.029350056368748944, -0.07558452614364171, 0.0654981575786667, 0.028432721584109907, 0.004187236432667109, 0.024673451319043027, -0.0078712420285454, 0.027986403533269043, 0.052828876244018406, 0.023777134609118903, -0.02836636764229352, 0.0857142720903669, 0.0073683889288651315, -0.0540135237171578, -0.17779473522274136]
5	WMT	[0.0029617827721941637, -0.09128081244952986, 0.06407290093318152, 0.011066122965044296, 0.08034232778096495, 0.010742305092140095, 0.02826610439002485, 0.0368753695236144, -0.05004178456134695, -0.037595041853056066, 0.004767970536049773, 0.0781549312247549, -0.03605429045223415, 0.02959269903832869, -0.004850738585159177, 0.025095081022001423, 0.10880566465537918, -0.137008633723971, -0.04289448935313602, -0.003090266235057334, -0.0037483816230754444, 0.06436128112240588, 0.09161211389900788, 0.07580077774274202, 0.03474258377484184]
6	WMB	[0.10413468766568812, 0.03891467846058649, 0.03891467846058649, 0.01151631184081071, -0.1044568200727449, 0.1325496735975247, 0.1589403939065004, -0.07182867472076825, 0.04740169954945585, -0.049298020336459296, -0.06655999755859375, -0.09731068569452765, 0.04292338270706017, -0.1443636113947088, 0.32881865297987345, 0.4806500810992233, 0.09045500107433896, 0.06101507196739299]
7	PYPL	[0.051386812307538776, 0.24054660843162057, 0.12646021624118423, -0.13159685554904077, 0.015121925167921112, 0.14209961254327436, 0.06340470252243653, 0.10833020429363621, 0.08190753754064226, 0.12648851303035427, -0.02910425989732952, 0.0997925392989638, 0.04483692310359928, -0.029196255677451533, 0.00444805398642784, -0.008770278169995774, -0.09766572580297597, 0.09345373794278308, -0.14865221174735174]
8	BBY	[0.2559153640737928, 0.25100983269591787, 0.25100983269591787, 0.25100983269591787, 0.2618666585286458, 0.15786853029573497, 0.12540785692449335, 0.07887653568536306, 0.08662276604584887, 0.09369950456181926, -0.07496494879379129, -0.10534630703243242, 0.030224800085616354, 0.04666391221480727, 0.024980299590664813, -0.002813217389946955, 0.11349030499198465, -0.050012607003741834, 0.05872339559785018, -0.03840145535935572, 0.10197992285166846, 0.12019136419706938, -0.009139105184188742, -0.1470446295003705, 0.07231492869329181, -0.14392828308086567, -0.003497917656705525, -0.11748514298899287]
9	HIG	[-0.1349205972766492, -0.017397074641464394, -0.04451860142621283, 0.04621345243741406, -0.004038710652845287, 0.13652851466553503, -0.0061804538813797355, 0.029790210476747056, -0.1124951015306755, 0.07313410988494302, 0.06634827424152882, -0.20647540030653658, 0.02062171130561837]
10	SPLK	[0.0726318095041999, 0.15378448911881976, -0.34147076008129745, -0.2575941101627156, 0.0595213721362461, 0.14469937233503047, 0.29416306363090305, 0.16733133339579176, 0.07956190392283462, 0.023522584276380158, -0.004419550027843463, 0.015904586714095933, 0.0072215910565936745, 0.029562079723015174, 0.02742427447937117, 0.003193725063019903, 0.12236906327243884, 0.010611438090777718, 0.23389521440810432, 0.05228320618877712]
11	PENN	[0.0159651161346623, 0.06275706481828434, 0.17104939061793417, -0.04413702653652133, -0.07455011824090484, -0.1431924852850214, -0.054315005136143485, 0.047500014305114746, 0.1127012127643361, -0.023288632457958577, -0.11492066156296503, 0.0494624045513851, 0.04229974386697344, -0.024269428338627587, 0.08663493730636834]
12	KDP	[0.06422367990322457, -0.0645805750643254, -0.1832532691982433]
13	FITB	[-0.056241405974972396, -0.14535295712004492, 0.12065137578282824, 0.1281874969684199, 0.004917020372170952, 0.04766581303053698, 0.08301707809932166, -0.005845145407689021, 0.05795576438354953, 0.0671141397798591, -0.009073568730267845, -0.012506501534078772, 0.1412391005701333, 0.0643416510024362, -0.0056818397330839045, 0.009590565216828457, -0.007987250624077747, 0.10042190228484263, -0.08811538161567085, 0.008221985841971561, -0.10188300974998918, 0.044453369678625114, 0.009345794392523364, 0.1091247770408932, 0.028227250385835956, -0.3071539591538165]
14	LOW	[0.11980095768838832, -0.1500779900294166, -0.08898998366333334, -0.02101533463318284, 0.034445410698523464, 0.034445410698523464, 0.04454150544781257, -0.03931554897487685, 0.15745506883911653, 0.10102802601665269, 0.11423057748465026, -0.0453563786082823, -0.027926498164242503, 0.03882333024831019, 0.04728166302713669, -0.027264512559665336, -0.008143341623202918, 0.1472820609004647, 0.027745155261151875, -0.20324903508923137, -0.19776534042833863, -0.10842387407793241, -0.13368749795261523, -0.03903385368778033, -0.009322520180843005, 0.040740098787155635, 0.054206639357339895, 0.0590219369304278, 0.2833113954687804, 0.013345495842979168]
15	TMUS	[0.20613105723064068, 0.20847533541881258, 0.11863023913392534, 0.02004533920542772, -0.05886605405118706, -0.04816269526931959, 0.08779512525578262, -0.08489162420848426, -0.09925395632549007, 0.05943537804365405, 0.05943537804365405, 0.12432015506581501, 0.1157751544668244, 0.008928599741826734, -0.02478578514009674, -0.031243293361324653, 0.12321431296212333, 0.043846821651364144, 0.060606017290186526, 0.015084838052792437, 0.03462836504461488, 0.09421983515103932, 0.22250387221749923]
16	SU	[-0.051035285893140866, -0.1559604002981535, -0.013451502263045017, 0.17497026979818758, -0.11974434984046405, 0.2259963672264637, -0.06312059001731629, -0.06312059001731629, 0.053177671255971753, 0.12230461694039176, 0.013931912494385723, 0.05702994246721105, -0.015439443380401653, -0.015439443380401653, -0.08939645377298958, 0.06501069893300779, -0.02140949146105623]
17	ORCL	[0.0562289573533554, -0.016638032728044698, 0.0024855055195647305, -0.08768978600385716, -0.000812314623584518, 0.06332520709971584, 0.02256734593149244, 0.02779817729831799, -0.02564100653230797, 0.04503577889125458, 0.07492089444488778, 0.01831249250589713, 0.01312154035091879, -0.06456497540410294, 0.0018291009664730279, -0.003350053961672835, 0.013563483289979368, -0.004828511759619908, -0.019491883325069268, -0.019491883325069268, -0.010536755215423087, -0.017695664865873567, -0.012737510414062026, 0.016348828525716626, 0.14913661141786197, 0.06846060589226552, 0.10971588751464866, 0.16035048083568024, 0.10759355992618447]
18	SNAP	[-0.04321323059645172, -0.07836990845523491, -0.03824088233536794, 0.060213412251822064, -0.05555555200924311, -0.2289156626506024, -0.2289156626506024, -0.2289156626506024, -0.1454357804843308, 0.22222223211613562, -0.30839232405022865, -0.24757806245201472, -0.11559887793174335, 0.48553055993486804, 0.547400603147971, 0.23748543953616125, -0.0017730057236524002, -0.03547297895956066, -0.06356973574128705, 0.15008876962972537, 0.15008876962972537, 0.320295139322666, 0.030108922316840918, 0.06743088369147458, -0.09540035473867267, -0.09540035473867267, -0.1362209689091403, -0.12774804683759217, -0.09917842976860639, -0.010330617594738871, 0.13094366875368094, 0.13535501935987013, 0.13201818898553946, 0.13201818898553946, 0.08064516129032258, 0.2756792448871302, -0.00921658074808496, -0.00921658074808496, -0.23286240820573095, -0.5076470655553481, -0.019494617352134695, 0.6324376299747341, 0.6324376299747341, 0.7452924027790958, 0.038800695974799224]
19	JD	[0.0939496408364408, 0.23659298738856835, 0.10673665061801654, -0.061606170772816805, 0.13670982944773397, 0.04978987715268927, 0.03140417694017905, -0.07610743748242196, 0.025053267996815256, 0.05815162134540375, -0.09943839390031554, 0.031227791030398723, -0.06373194809530502, 0.08280037564048011, 0.0912454693118528, 0.1639093869136247, 0.03183790940599844, 0.18852682254505074, 0.11883415320816906, 0.0437147059727019]
20	CVE	[0.010795876267310277, 0.06488668773652367, 0.03443526062236837, 0.10546277370741677, 0.020751589501773363, -0.24156185979245245, 0.013479347005450566, 0.04590167445670072, -0.04324326588342942, -0.007028081782742842, -0.0946428110708988, -0.09154229441130729, -0.16328597492262034, -0.08884303545855576, 0.08168037197973448]
21	EQNR	[0.019319938802702392, -0.05329835499717023, -0.16666666666666666, 0.10745237826327693]
22	ATUS	[-0.1245614143693293, -0.004265409998140561, -0.11563729296850034, -0.07407405538557053, -0.21773329646383555]
23	ABBV	[-0.0341629436689188, 0.03905302259579121, 0.02860386996297742, -0.09069007748082673, 0.04093779083605256, 0.0699346820365721, 0.2215237572079613, -0.14736509932447117, 0.07517703672763117, 0.055758390856948385, 0.024897197663347134, -0.035741004203102646, -0.047500049366670495, 0.1401896859690376, 0.09769868685660983, 0.10873974313787325, 0.09655912390313258, 0.03634517416129245]
24	BIDU	[0.09947817380738298, 0.3153562405255179, 0.0686532151275285, 0.0686532151275285, 0.0686532151275285, 0.042568266215872876, 0.06881825268704411, 0.03656301064787685, 0.09094767880992358, 0.09094767880992358, -0.03206061253598759, -0.13435340427628165, -0.11871230555853335, 0.02154560449287077, 0.14185387067566524, 0.08496865743493985, 0.08108659068979295, 0.07288969917200981, 0.16480445676269498, 0.01914584788268006, -0.020577241285547537, 0.18076100292542097, -0.13026246608885358, -0.1061041821112761, 0.04521333450699797, 0.026953583695614278, 0.012723611868189414, -0.020899540839108558, -0.08797809199044518, 0.12784733402436496, -0.03486348610438841, -0.1500171884896414, -0.1500171884896414, 0.028179269704737036, 0.028179269704737036, 0.028179269704737036, 0.028179269704737036, 0.05476954551798172, -0.18025997555839343]
25	SYF	[0.04498386129958096, 0.07170546790540831, 0.07239266014766857, -0.01576995134432691, -0.03613310355676094, -0.09393653089176729, 0.0016379349397828758, 0.051859599958356054, -0.06871194672500394, 0.07906193208854928, 0.2214738590839633, 0.06977524189768716, 0.07116725677974595, 0.02594872653390456, -0.12267082824065337]
26	IBM	[0.07396936304240216, 0.008841332296801035, -0.01580191558262087, -0.07363346754416422, 0.1204983547119591, -0.010066262467629079, 0.04437648580814535, -0.034538845842005915, -0.04883592166635329, -0.0717461682930947, 0.015151502237465623, -0.18791634950909897, -0.3355241001576636]
27	A	[0.06185016708998974, 0.003334608512232355, 0.005687153067075303, -0.0986154418062671, -0.0922400883728901, -0.028974386361929085, 0.10915337164642298, 0.033553301029091, 0.025821243120032172, 0.0006458010399453748]
28	WY	[-0.022620148810949654, 0.1545841995281854, 0.07925203736433281, -0.02124541904450634, -0.009440072091819468, -0.16274018492887055, -0.01576121120605071, 0.026116846010963913, -0.00885269128988032, 0.05068438390982468, 0.046800685976008415, 0.04682061099839592, 0.048058568593738325, 0.06978442779856364, 0.05025638678135016, 0.02002356665217621, 0.10605550247576859, 0.08233778498372779, -0.0914391944022527, -0.0438895132053762, 0.020123856605766835, -0.0850675420090238]
29	ATRA	[1.6861110263400607, -0.2521703285157603, 0.7301401511239486]
