Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
FRO,Frontline Ltd,8.07,-0.05,-0.62%,8.09,7.8,4646800,5/22/20
GT,Goodyear Tire Rubber,7.14,0.06,0.85%,7.18,6.8,4619700,5/22/20
ODP,Office Depot,2.27,0.01,0.44%,2.32,2.21,4618800,5/22/20
GGB,Gerdau S.A.,2.1,-0.04,-1.87%,2.13,2.05,4614100,5/22/20
FLEX,Flextronics Intl Ltd,9.61,-0.22,-2.19%,9.92,9.5,4576300,5/22/20
LTM,Latam Airlines Group S.A.,2.58,-0.13,-4.80%,2.79,2.53,4417600,5/22/20
AA,Alcoa Corp,8.21,-0.07,-0.85%,8.37,8.02,4414800,5/22/20
NOV,National-Oilwell,12.09,-0.03,-0.25%,12.27,11.8,4375300,5/22/20
RRR,Red Rock Resorts Inc,13.11,1,8.26%,13.75,12.16,4145500,5/22/20
AG,First Majestic Silver,9.38,0,0.00%,9.75,9.36,3919500,5/22/20
TWO,Two Harbors Investments Corp,4.77,0.02,0.42%,4.79,4.52,3905900,5/22/20
FEYE,Fireeye Inc,11.86,0.38,3.31%,11.89,11.36,3895500,5/22/20
PBF,PBF Energy Inc,10.46,-0.02,-0.19%,10.68,10.14,3868800,5/22/20
SVC,Service Properties Trust,6.34,-0.21,-3.21%,6.59,6,3787800,5/22/20
NTNX,Nutanix Inc,24.61,0.6,2.50%,24.7,23.46,3723800,5/22/20
CNX,CNX Resources Corp,10.38,0.16,1.57%,10.51,10.07,3720900,5/22/20
AM,Antero Midstream Corp,4.3,0,0.00%,4.32,4.11,3678200,5/22/20
SPR,Spirit Aerosystems Holdings,20.95,0.33,1.60%,21.1,20.06,3612300,5/22/20
FHN,First Horizon National Corp,8.71,-0.11,-1.25%,8.91,8.57,3520800,5/22/20
MOS,Mosaic Company,11.56,0.01,0.09%,11.69,11.43,3444900,5/22/20
KC,Kingsoft Cloud Holdings Limited American Deposit,17.18,-1.32,-7.14%,18.07,17.01,3441800,5/22/20
TRGP,Targa Resources,18.04,0.73,4.22%,18.09,16.64,3416300,5/22/20
ENLC,Enlink Midstream Llc,2.34,0.08,3.54%,2.38,2.11,3358500,5/22/20
BZUN,Baozun Inc Ads,26.06,-2.55,-8.91%,28.59,25.74,3344800,5/22/20
SFIX,Stitch Fix Inc,23.51,1.38,6.24%,23.97,21.88,3338000,5/22/20
IAG,Iamgold Corp,3.76,0.01,0.27%,3.86,3.75,3304800,5/22/20
ICPT,Intercept Pharmaceuticals,80.51,-11.18,-12.19%,81.62,76.31,3276900,5/22/20
SSL,Sasol Ltd,4.5,-0.31,-6.44%,4.52,4.33,3265200,5/22/20
ETRN,Equitrans Midstream Corp,7.85,-0.02,-0.25%,7.89,7.53,3196800,5/22/20
ARNC,Arconic Corp,12.84,1.56,13.83%,13.05,11.54,3196700,5/22/20
LX,Lexinfintech Holdings Ltd,7.86,-0.71,-8.28%,8.56,7.82,3194400,5/22/20
BOX,Box Inc,19.09,1.2,6.71%,19.33,18.15,3191500,5/22/20
PBCT,People's United Finl,10.86,-0.31,-2.78%,11.27,10.83,3103000,5/22/20
BRFS,Brf-Brasil Foods S.A.,3.91,-0.01,-0.26%,4,3.88,3048900,5/22/20
CIM,Chimera Investment Corp,8.15,0.05,0.62%,8.15,7.95,3023000,5/22/20
CX,Cemex S.A.B. DE C.V.,2.12,-0.04,-1.85%,2.18,2.09,2993900,5/22/20
ADSW,Advanced Disposal Services Inc,31.94,-0.04,-0.13%,32.1,30.2,2938600,5/22/20
MUR,Murphy Oil Corp,12.29,-0.27,-2.15%,12.47,11.99,2924700,5/22/20
TRIP,Tripadvisor Inc,18.92,-0.56,-2.87%,19.58,18.61,2896800,5/22/20
ALK,Alaska Air Group,31.02,-0.82,-2.58%,32.61,30.32,2888300,5/22/20
TOL,Toll Brothers Inc,28.99,0.64,2.26%,29.25,27.88,2861500,5/22/20
STNG,Scorpio Tankers Inc,16.98,-0.24,-1.39%,17.14,16.3,2853400,5/22/20
LOGM,Logmein Inc,84.07,-0.84,-0.99%,85.1,83.9,2840000,5/22/20
AGI,Alamos Gold Inc,8.24,-0.02,-0.24%,8.54,8.17,2831400,5/22/20
APLE,Apple Hospitality REIT Inc,9.15,-0.45,-4.69%,9.58,8.87,2811400,5/22/20
HP,Helmerich & Payne,18.21,-0.44,-2.36%,18.49,17.77,2808200,5/22/20
TGNA,Tegna Inc,11.21,0.23,2.09%,11.25,10.88,2796700,5/22/20
EURN,Euronav NV,9.77,0.09,0.93%,9.8,9.5,2792400,5/22/20
EAT,Brinker International,24.49,-0.01,-0.04%,25.15,24.01,2761000,5/22/20
NVST,Envista Holdings Corp,18.97,0.27,1.44%,18.99,17.92,2720000,5/22/20
SONO,Sonos Inc,11.15,-0.36,-3.13%,11.49,10.7,2666900,5/22/20
PS,Pluralsight Inc Cl A,21.59,1.29,6.35%,22.33,20.54,2656900,5/22/20
DKS,Dick's Sporting Goods Inc,32.09,1.25,4.05%,32.18,30.43,2641900,5/22/20
SWCH,Switch Inc,19.02,0.73,3.99%,19.22,18.22,2606100,5/22/20
RAMP,Liveramp Holdings Inc,48.17,9.42,24.31%,49.08,42,2605400,5/22/20
VIR,Vir Biotechnology Inc,33.69,-3.37,-9.09%,37.3,32.71,2590900,5/22/20
TECK,Teck Resources Ltd,9.16,-0.31,-3.27%,9.42,9.09,2570900,5/22/20
DOC,Physicians Realty Trust,16.68,0.1,0.60%,16.8,16.37,2528400,5/22/20
UGP,Ultrapar Participacoes S.A.,2.89,-0.05,-1.70%,2.93,2.76,2525000,5/22/20
COMM,Commscope Holding Company,9.19,-0.05,-0.54%,9.41,9.05,2494500,5/22/20
SFM,Sprouts Farmers Mark,24.29,-0.22,-0.90%,24.81,24.03,2432400,5/22/20
NYCB,New York Community Bancorp,9.07,-0.32,-3.41%,9.39,9.02,2406400,5/22/20
MAT,Mattel Inc,8.48,0.1,1.25%,8.52,8.26,2389000,5/22/20
CPRI,Capri Holdings Ltd,14.5,-0.56,-3.72%,15.35,14.38,2386300,5/22/20
CNK,Cinemark Holdings Inc,14.04,-0.18,-1.27%,14.45,13.94,2382600,5/22/20
VRT,Vertiv Holdings Llc.,12.07,0.05,0.42%,12.18,11.98,2370600,5/22/20
FTCH,Farfetch Ltd Cl A,13.85,0.21,1.54%,14.01,13.5,2367200,5/22/20
SLM,SLM Corp,7.31,-0.08,-1.08%,7.53,7.26,2352800,5/22/20
PEB,Pebblebrook Hotel Trust,13.2,0.23,1.77%,13.4,12.64,2347900,5/22/20
IGT,International Game Technology,8,0.18,2.30%,8.01,7.67,2326700,5/22/20
ESRT,Empire State Realty Trust Inc,6.91,-0.23,-3.22%,7.25,6.78,2323200,5/22/20
FIT,Fitbit Inc,6.43,-0.04,-0.62%,6.5,6.42,2303000,5/22/20
EGHT,8X8 Inc,15.84,0.71,4.69%,16.03,14.96,2277900,5/22/20
BB,Blackberry Ltd,4.54,0,0.00%,4.59,4.48,2244500,5/22/20
UNM,Unumprovident Corp,14.71,-0.35,-2.32%,15.1,14.61,2223400,5/22/20
PSTG,Pure Storage Inc,16.27,0.29,1.81%,16.29,15.73,2222000,5/22/20
BRX,Brixmor Property Group Inc,10.83,-0.23,-2.08%,11.1,10.72,2214600,5/22/20
SIX,Six Flags Entertainment Corp,23.54,0.45,1.95%,23.62,22.57,2193800,5/22/20
CIT,Cit Group Inc,16.03,-0.78,-4.64%,17,15.84,2193200,5/22/20
SEAS,Seaworld Entertainment Inc Company,17.56,0.28,1.62%,17.96,16.68,2182500,5/22/20
URBN,Urban Outfitters Inc,17.17,-0.46,-2.61%,18.07,16.89,2174900,5/22/20
RPAI,Retail Properties of America,5.24,-0.01,-0.19%,5.41,5.09,2170900,5/22/20
DRH,Diamondrock Hospitality Company,5.69,-0.08,-1.39%,5.85,5.47,2161700,5/22/20
TENB,Tenable Holdings Inc,29.2,0.2,0.69%,29.86,28.82,2154900,5/22/20
CWH,Camping World Holdings Inc,19.99,-0.71,-3.43%,20.9,19.6,2105600,5/22/20
NG,Novagold Resources Inc,11.57,0.26,2.30%,11.83,11.39,2087700,5/22/20
RDN,Radian Group Inc,15.16,-0.42,-2.70%,15.58,14.73,2076900,5/22/20
SLG,SL Green Realty Corp,36.83,-0.59,-1.58%,37.76,35.82,2065600,5/22/20
STL,Sterling Bancorp,10.98,-0.39,-3.43%,11.59,10.84,2062100,5/22/20
DOYU,Douyu International Holdings Ltd Ads,6.91,-0.7,-9.20%,7.5,6.91,2055100,5/22/20
KPTI,Karyopharm Therapeut,20.65,1.54,8.06%,20.87,19.01,2041300,5/22/20
STOR,Store Capital Corpstore Capital,18.72,-0.09,-0.48%,18.84,18.31,2007600,5/22/20
STWD,Starwood Property Trust,13.07,0.29,2.27%,13.11,12.59,1982600,5/22/20
AMRX,Amneal Pharmaceuticals Inc,4.69,0.16,3.53%,4.84,4.42,1966100,5/22/20
UPWK,Upwork Inc,12.3,-0.08,-0.65%,12.5,11.93,1959100,5/22/20
NVTA,Invitae Corp,17.51,0.77,4.60%,17.74,16.56,1956300,5/22/20
NLSN,Nielsen Holdings Plc,13.59,0.17,1.27%,13.66,13.4,1950700,5/22/20
SPWR,Sunpower Corp,6.72,-0.15,-2.26%,6.94,6.7,1942900,5/22/20
CHNG,Change Healthcare Inc,12.32,0.04,0.33%,12.35,12.04,1925500,5/22/20
ATH,Athene Holding Ltd,26,-0.71,-2.66%,26.76,25.56,1903400,5/22/20
ENBL,Enable Midstream Partners LP,3.89,0,0.00%,3.91,3.73,1892200,5/22/20
FLO,Flowers Foods,22.89,0.07,0.31%,22.93,22.44,1874100,5/22/20
TTM,Tata Motors Ltd,5.46,-0.11,-1.97%,5.57,5.35,1865100,5/22/20
SOGO,Sogou Inc,2.96,-0.21,-6.62%,3.12,2.95,1864300,5/22/20
SAND,Sandstorm Gold Ltd,8.71,0.22,2.59%,8.79,8.52,1858200,5/22/20
CLDR,Cloudera Inc,9.64,0.13,1.37%,9.65,9.4,1852100,5/22/20
EGO,Eldorado Gold Corp,9,-0.04,-0.44%,9.28,8.94,1843100,5/22/20
BYD,Boyd Gaming Corp,19.69,-0.08,-0.40%,19.89,18.81,1814700,5/22/20
ADT,ADT Inc,6.52,0.1,1.56%,6.52,6.41,1790500,5/22/20
VSH,Vishay Intertechnology,15.76,0.26,1.68%,15.9,15.24,1789100,5/22/20
QFIN,360 Finance Inc ADR,9,-0.04,-0.44%,9.09,8.69,1788600,5/22/20
GPK,Graphic Packaging Holding Company,13.32,-0.16,-1.19%,13.54,13.15,1764200,5/22/20
WEN,Wendys Company,20.86,0,0.00%,20.99,20.48,1763600,5/22/20
SKX,Skechers U.S.A.,29.27,0.16,0.55%,29.49,28.78,1763400,5/22/20
GGAL,Grupo Fin Galicia,9.51,0.13,1.39%,9.74,8.85,1755900,5/22/20
XEC,Cimarex Energy Company,26.81,-0.29,-1.07%,26.89,26.2,1748200,5/22/20
WES,Western Midstream Partners LP,8.98,0.13,1.47%,9.05,8.51,1741700,5/22/20
PDCE,Pdc Energy Inc,12.49,-0.03,-0.24%,12.7,12.04,1737500,5/22/20
FND,Floor & Decor Holdings Inc,49.79,0.93,1.90%,49.99,48.53,1701400,5/22/20
BPY,Brookfield Property Partners L,9.3,-0.13,-1.38%,9.45,9.22,1698600,5/22/20
VLY,Valley National Bancorp,7.56,-0.11,-1.43%,7.84,7.47,1697400,5/22/20
HPP,Hudson Pacific Properties,21.22,-0.34,-1.58%,21.76,21.07,1696300,5/22/20
SBRA,Sabra REIT,13.14,0.06,0.42%,13.2,12.85,1696100,5/22/20
MGY,Magnolia Oil & Gas Corp,5.93,-0.33,-5.27%,6.33,5.82,1694500,5/22/20
FNB,F.N.B. Corp,7.02,-0.14,-1.96%,7.24,6.91,1686700,5/22/20
VIRT,Virtu Financial Cm A,21.86,0.64,3.02%,21.92,21.08,1681000,5/22/20
CORT,Corcept Therapeutics,15.75,0.47,3.08%,16.25,15.48,1678100,5/22/20
PAGP,Plains Gp Holdings LP,10.25,0.14,1.38%,10.26,9.68,1658200,5/22/20
GEO,Geo Group Inc,11.2,-0.02,-0.18%,11.24,10.82,1638800,5/22/20
AZUL,Azul S.A. ADR,7.96,-0.18,-2.21%,8.13,7.76,1633500,5/22/20
IAA,Iaa Inc,37.06,0.59,1.62%,37.35,35.87,1626500,5/22/20
XRX,Xerox Corp,16.98,-0.26,-1.51%,17.38,16.74,1624300,5/22/20
RDFN,Redfin Corp,29.48,1.98,7.20%,29.75,27.67,1621700,5/22/20
KBH,KB Home,30.53,1.19,4.06%,30.72,29.22,1615900,5/22/20
SGMO,Sangamo Therapeutics,11.51,0.39,3.51%,11.54,10.89,1605400,5/22/20
BHVN,Biohaven Pharmaceutical Holding Company Ltd,58.38,6.17,11.82%,59.53,52.62,1599300,5/22/20
PTLA,Portola Pharma,17.83,0,0.00%,17.85,17.81,1598400,5/22/20
Downloaded from Barchart.com as of 05-25-2020 05:42pm CDT,,,,,,,,
