Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NCLH,Norwegian Cruise Ord,13.9,-0.13,-0.93%,15,13.72,65214301,5/22/20
SRNE,Sorrento Therpt,5.07,0.04,0.80%,5.35,4.67,48302699,5/22/20
TLRY,Tilray Inc,10.26,0.61,6.32%,10.69,8.9,43098598,5/22/20
AAL,American Airlines Gp,9.7,-0.19,-1.92%,10.12,9.63,37596699,5/22/20
M,Macy's Inc,5.21,-0.16,-2.98%,5.46,5.13,35481000,5/22/20
COTY,Coty Inc,3.75,0.42,12.61%,3.88,3.46,31253498,5/22/20
PENN,Penn Natl Gaming Inc,30.38,0.73,2.46%,30.47,28.11,27600199,5/22/20
ACB,Aurora Cannabis Inc,16.01,-1.39,-7.99%,16.89,15.34,26010100,5/22/20
NIO,Nio Inc,3.27,-0.06,-1.80%,3.34,3.18,22887301,5/22/20
UA,Under Armour Inc Cl C,7.38,-0.32,-4.16%,7.7,7.32,21484301,5/22/20
MRO,Marathon Oil Corp,5.89,-0.05,-0.84%,5.93,5.75,19179900,5/22/20
INO,Inovio Pharma,14.08,-0.16,-1.12%,14.59,13.22,16171700,5/22/20
FSCT,Forescout Technologies Inc,23.4,3.09,15.21%,23.97,19.72,15215200,5/22/20
BJ,Bj's Wholesale Club Holdings Inc,37.09,1.84,5.22%,38.35,35.45,15193500,5/22/20
APHA,Aphria Inc,4.04,0.09,2.28%,4.09,3.72,13846500,5/22/20
SPCE,Virgin Galactic Holdings Inc,15.74,1.03,7.00%,15.92,14.62,13411300,5/22/20
AMRN,Amarin Corp Ads,7.24,-0.04,-0.55%,7.35,6.49,13397700,5/22/20
FL,Footlocker Inc,26.83,-2.49,-8.49%,27.88,25.23,12943200,5/22/20
GPS,Gap Inc,8.21,0.02,0.24%,8.6,7.95,12515101,5/22/20
LB,L Brands Inc,15.08,0.63,4.36%,15.18,14.2,12101700,5/22/20
JBLU,Jetblue Airways Cp,9.24,-0.18,-1.91%,9.65,9.07,11592500,5/22/20
CLF,Cleveland-Cliffs Inc,4.68,-0.03,-0.64%,4.74,4.43,11271500,5/22/20
PK,Park Hotels & Resorts Inc,9.39,-0.48,-4.86%,9.99,9.23,10620601,5/22/20
APA,Apache Corp,12.17,0.12,1.00%,12.2,11.65,10415801,5/22/20
OPK,Opko Health Inc,2.56,-0.1,-3.76%,2.66,2.46,9832899,5/22/20
SWN,Southwestern Energy Company,2.9,-0.05,-1.69%,2.94,2.82,9830200,5/22/20
HOG,Harley-Davidson Inc,24.38,0.8,3.39%,25.25,23.07,9817000,5/22/20
X,United States Steel Corp,7.37,-0.11,-1.47%,7.5,7.19,9778400,5/22/20
ERI,Eldorado Resorts,33.54,0.86,2.63%,34.64,30.92,9689700,5/22/20
KIM,Kimco Realty Corp,11.33,0.07,0.62%,11.41,11.07,9396400,5/22/20
SABR,Sabre Corp,7.25,0.35,5.07%,7.33,6.85,9292199,5/22/20
UAA,Under Armour,8.34,-0.34,-3.92%,8.75,8.26,9182700,5/22/20
WPX,Wpx Energy Inc,5.83,-0.03,-0.51%,5.89,5.61,8962600,5/22/20
KSS,Kohl's Corp,17.48,-0.53,-2.94%,18.35,17.19,8518300,5/22/20
DVN,Devon Energy Corp,12.14,-0.15,-1.22%,12.25,11.8,8327700,5/22/20
FSLY,Fastly Inc,41.08,-3.17,-7.16%,45.53,40.9,8275600,5/22/20
OVV,Ovintiv Inc.,8.31,0.1,1.22%,8.35,7.81,7987700,5/22/20
CAR,Avis Budget Group,16.72,0.16,0.97%,17.25,15.52,7730600,5/22/20
HL,Hecla Mining Company,3.35,-0.09,-2.62%,3.57,3.33,7658600,5/22/20
FG,Fgl Holdings,10.57,-0.08,-0.75%,10.66,10.53,7599800,5/22/20
PE,Parsley Energy,9.32,0.01,0.11%,9.32,8.93,7002700,5/22/20
NRZ,New Residential Investment Corp,7,0.04,0.57%,7.04,6.7,6926800,5/22/20
HBI,Hanesbrands Inc,9.59,-0.22,-2.24%,10.07,9.44,6856400,5/22/20
EQT,Eqt Corp,13.74,0.57,4.33%,13.85,12.86,6788200,5/22/20
MOMO,Momo Inc Ads,19.14,-1.97,-9.33%,20.6,19.08,6786800,5/22/20
MTG,Mgic Investment Corp,7.61,-0.3,-3.79%,8.02,7.47,6575300,5/22/20
HUYA,Huya Inc,15.54,-1.55,-9.07%,16.52,15.31,6535100,5/22/20
NBL,Noble Energy Inc,10.1,0.06,0.60%,10.14,9.53,6508700,5/22/20
USFD,US Foods Holding,17.81,-0.74,-3.99%,18.92,17.51,6456800,5/22/20
NVAX,Novavax Inc,46.11,-3.96,-7.91%,49.74,45.12,6083300,5/22/20
JWN,Nordstrom,15.66,-0.33,-2.06%,16.22,15.22,6082300,5/22/20
MAC,Macerich Company,6.95,-0.41,-5.57%,7.39,6.91,6013100,5/22/20
CDE,Coeur Mining Inc,5.51,-0.19,-3.33%,5.87,5.44,5870300,5/22/20
RRC,Range Resources Corp,6.01,0.24,4.16%,6.03,5.59,5768900,5/22/20
SDC,Smiledirectclub Inc,7.6,-0.04,-0.52%,7.64,7.35,5549900,5/22/20
DLPH,Delphi Technologies Plc,11.8,-0.1,-0.84%,11.99,11.51,5522300,5/22/20
TPR,Tapestry Inc,13.98,-0.26,-1.83%,14.65,13.84,5172800,5/22/20
FTI,Technipfmc Plc,7.21,-0.05,-0.69%,7.24,6.86,5158900,5/22/20
AEO,American Eagle Outfitters,8.97,0,0.00%,9.12,8.7,5090400,5/22/20
DXC,Dxc Technology Company,15.48,-0.37,-2.33%,15.98,15.06,5049200,5/22/20
PLUG,Plug Power Inc,4.11,-0.06,-1.44%,4.17,4.05,4939500,5/22/20
HMY,Harmony Gold Mining Co. Ltd,3.53,-0.09,-2.49%,3.65,3.52,4851300,5/22/20
GNW,Genworth Financial Inc,3.17,-0.19,-5.65%,3.42,3.12,4707600,5/22/20
