Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
RAD,Rite Aid Corp,12.42,0,0.00%,12.66,12.1,2350200,5/22/20
ANF,Abercrombie & Fitch Company,11.81,-0.22,-1.83%,12.18,11.64,2320300,5/22/20
ADMA,Adma Biologics,2.84,-0.07,-2.41%,2.96,2.76,2277100,5/22/20
CERS,Cerus Corp,5.92,0.36,6.47%,5.93,5.46,2231200,5/22/20
ATHX,Athersys Inc,3.06,-0.06,-1.92%,3.15,3,2212200,5/22/20
RUBI,The Rubicon Project Inc,5.17,-0.08,-1.52%,5.39,5.03,2209200,5/22/20
AGEN,Agenus Inc,2.5,0,0.00%,2.6,2.45,2198600,5/22/20
CMCM,Cheetah Mobile Inc,2.88,-0.02,-0.69%,3.69,2.65,2190000,5/22/20
OSTK,Overstock.com Inc,17.6,-0.25,-1.40%,18.15,17.3,2185300,5/22/20
CRK,Comstock Resources,4.99,-0.17,-3.29%,5.15,4.8,2177700,5/22/20
GBX,Greenbrier Companies,21.35,1.7,8.65%,21.62,19.12,2167200,5/22/20
EROS,Eros International Plc,3.18,-0.04,-1.24%,3.28,3.11,2122700,5/22/20
SIG,Signet Jewelers Ltd,10.24,0.08,0.79%,10.68,10,2115100,5/22/20
EVRI,Everi Holdings Inc,5.68,0.09,1.61%,5.83,5.36,2002700,5/22/20
AXU,Alexco Resource Corp,2.18,-0.04,-1.80%,2.3,2.09,1940700,5/22/20
SKT,Tanger Factory Outlet Centers,6.04,-0.17,-2.74%,6.27,5.94,1835200,5/22/20
GIII,G-III Apparel Gp,9.94,-0.22,-2.17%,10.28,9.61,1729200,5/22/20
BBAR,Bbva Banco Frances S.A.,3.69,0.07,1.93%,3.71,3.42,1701500,5/22/20
APY,Apergy Corp,8.65,-0.15,-1.70%,8.76,8.44,1698500,5/22/20
FLDM,Fluidigm Corp,4.89,0.22,4.82%,4.98,4.57,1698400,5/22/20
INFN,Infinera Corp,4.6,-0.04,-0.86%,4.72,4.5,1687000,5/22/20
ERJ,Embraer-Empresa Brasileira DE Aeronautica,4.65,-0.08,-1.69%,4.87,4.64,1679800,5/22/20
JKS,Jinkosolar Holding Company Ltd,15.05,-0.84,-5.29%,15.84,14.98,1679800,5/22/20
TNP,Tsakos Energy Navigation Ltd,2.66,-0.04,-1.48%,2.71,2.5,1651900,5/22/20
ABR,Arbor Realty Trust,7.89,0.29,3.82%,7.94,7.45,1637000,5/22/20
GPRO,Gopro Inc Cl A,4.16,-0.04,-0.95%,4.21,4.1,1587900,5/22/20
TK,Teekay Shipping Corp,2.91,-0.15,-4.90%,3.07,2.83,1585700,5/22/20
AMRS,Amyris Inc,3.52,-0.13,-3.56%,3.73,3.46,1583400,5/22/20
GOSS,Gossamer Bio Inc,12.62,0.12,0.96%,12.78,12.12,1582700,5/22/20
IMGN,Immunogen Inc,5.14,0.02,0.39%,5.22,4.99,1578400,5/22/20
RLGY,Realogy Holdings Corp,4.81,-0.01,-0.21%,4.92,4.61,1569200,5/22/20
TGI,Triumph Group,5.55,-0.1,-1.77%,5.7,5.08,1568200,5/22/20
CAKE,Cheesecake Fact,19.97,0.01,0.05%,20.39,19.48,1524000,5/22/20
BTU,Peabody Energy Corp,3.21,-0.22,-6.41%,3.4,3.11,1485700,5/22/20
PBI,Pitney Bowes Inc,2.34,-0.12,-4.88%,2.46,2.27,1484200,5/22/20
JMIA,Jumia Technologies Ag ADR,4.69,-0.19,-3.89%,4.93,4.6,1466200,5/22/20
MEIP,Mei Pharma Inc,3.51,0.12,3.54%,3.54,3.29,1454500,5/22/20
NMRK,Newmark Group Inc Cl A,3.74,-0.17,-4.35%,3.9,3.61,1442400,5/22/20
